#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:12 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05457000 CEDAR RIVER NEAR AUSTIN, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05457000	10	1948-05-19 09:00:00	CDT	Yes	CDS	USGS	2.66	85.6				Unspecified	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	85.6	78.0	112	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	55	1948-08-04 14:00:00	CDT	Yes	ENG	USGS	13.00	27.0				Unspecified	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	27.0	95.0	149	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	74	1950-01-03		Yes	JHH	USGS	2.50	56.8				Good			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	56.8	78.0	61.5	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	75	1950-02-06		Yes	JHH	USGS	2.25	36.3				Good			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	36.3	77.0	60.7	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	76	1950-03-06		Yes	JHH	USGS	2.74	168				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	168	83.0	83.6	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	77	1950-03-07		Yes	B	USGS	9.60	3640				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3640	132	981	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	78	1950-03-13		Yes	JHH	USGS	2.56	109				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	109	84.0	84.0	1.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	79	1950-03-22		Yes	JHH	USGS	2.35	63.8				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	63.8	86.0	65.0	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	80	1950-03-26		Yes	JHH	USGS	15.76	7170				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7170	136	1810	3.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	81	1950-03-26		Yes	JHH	USGS	17.20	8280				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8280	136	2020	4.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	82	1950-04-07		Yes	JHH	USGS	2.69	153				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	153	96.0	112	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	83	1950-05-10		Yes	JHH	USGS	2.75	165				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	165	99.0	122	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	84	1950-06-05		Yes	G	USGS	2.75	50.3				Fair			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50.3	93.0	133	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	85	1950-07-05		Yes	JHH/F	USGS	2.77	31.4				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	31.4	92.0	107	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	86	1950-08-07		Yes	CLL	USGS	2.82	46.4				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	46.4	97.0	130	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	87	1950-09-05		Yes	G/CLL	USGS	2.82	34.8				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	34.8	98.0	124	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	88	1950-10-02		Yes	CLL	USGS	2.88	62.3				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	62.3	99.0	131	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	89	1950-11-06		Yes	CLL	USGS	2.63	44.8				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	44.8	96.0	84.0	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	90	1950-12-04		Yes	CLL	USGS	2.44	33.6				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	33.6	81.0	51.9	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	91	1951-01-09		Yes	CLL	USGS	2.42	38.0				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	38.0	75.0	50.7	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	91a	1951-01-24		Yes	HSM	USGS	2.47	45.7				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	45.7	84.0	64.4	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	92	1951-02-05		Yes	CLL	USGS	2.43	38.8				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	38.8	70.0	46.3	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	93	1951-03-15		Yes	CLL	USGS	2.40	58.6				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	58.6	79.0	55.3	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05457000	94	1951-04-03		Yes	CLL	USGS	4.01	657				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	657	104	271	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
