#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:22 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05457505 Cedar River at Osage, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05457505	1	2010-03-17 11:29:00	CDT	Yes	JWH/MKS	USGS	20.13	6210	 1.0		-0.8	GOOD	0.00	0.13	MDDB	MEAS	1		BRDS	QADCP	VADCP	6210	213	1320	4.72	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	05457505	2	2010-04-27 10:05:00	CDT	Yes	DTC/SAT	USGS	14.64	347	 1.0	0.06	0.0	FAIR	0.02	0.70	CLER	UNSP	1		WADE	QSCMM	VADV	347	174	271	1.28	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	05457505	3	2010-06-08 09:18:00	CDT	Yes	SAT	USGS	14.98	494	 1.0	0.05	-0.4	GOOD	0.02	1.53	CLER	MEAS	1		WADE	QSCMM	VADV	494	177	322	1.53	FIRM	BLDR	UNEV	STDY	EVEN	UNSP	ATGA	0.00
USGS	05457505	4	2010-07-19 15:33:00	CDT	Yes	SAT/DTC	USGS	15.58	948	 1.0	0.22	-0.1	GOOD	0.00	0.20	CLER	MEAS	1		BRDS	QADCP	VADCP	948	178	406	2.34	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	05457505	5	2010-08-30 10:39:00	CDT	Yes	DTC	USGS	14.13	148	 1.0	-0.01	-0.7	GOOD	0.05	0.67	CLER	UNSP	1		WADE	QSCMM	VADV	148	162	186	0.80	FIRM	BLDR	UNEV	UNSP	UNSP	UNSP	DNST	50
USGS	05457505	6	2010-10-06 12:07:00	CDT	Yes	MKH/DDW	USGS	15.48	808	 1.0	0.11	-0.4	GOOD	0.00	1.58	CLER	MEAS	1		WADE	QSCMM	VADV	808	181	431	1.88	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	DNST	50
USGS	05457505	7	2010-11-23 12:47:00	CST	Yes	SAT	USGS	15.48	756	 1.0	0.02	0.1	GOOD	0.00	0.20	SICE	MEAS	1		BRDS	QADCP	VADCP	756	181	364	2.08	FIRM	BLDR	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	05457505	8	2011-01-13 08:02:00	CST	Yes	SAT/DTC	USGS	15.08	340	 1.0	0.02	-36.0	POOR	0.00	0.48	CICE	MEAS	1		ICE	QSCMM	VADV	340	162	169	2.01	FIRM	GRVL	EVEN	STDY	EVEN	UNFM	DNST	25.00
USGS	05457505	9	2011-02-15 11:35:00	CST	Yes	SAT/DTC	USGS	14.80	307	 1.0	0.02	-22.9	POOR	0.00	0.42	SICE	MEAS	1		WADE	QSCMM	VADV	307	164	163	1.88	FIRM	GRVL	EVEN	STDY	EVEN	UNFM	DNST	50.00
