#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:13 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05463050 Cedar River at Cedar Falls, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05463050	1	1942-05-06 12:00:00	CDT	Yes	SJM	USGS		3400		0.00		FAIR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		3400	375	1180	2.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	2	1942-06-05 15:15:00	CDT	Yes	HHB/WAS	USGS	88.98	12200		0.00		GOOD	-0.20	1.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		12200	368	2740	4.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	3	1942-08-01 08:45:00	CDT	Yes	SJM	USGS	91.68	14900		0.00		FAIR	-0.32	6.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		14900	745	6220	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	4	1942-08-06 13:35:00	CDT	Yes	SJM	USGS	82.43	4570		0.00		GOOD	-0.60	4.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4570	439	1700	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	5	1943-10-14 11:30:00	CDT	Yes	REW	USGS	90.00	848.0		0.00		UNSP	-0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		848.0	292	689	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	6	2000-11-14 07:30:00	CST	Yes	JDE/JFC	USGS	21.85	1870		0.00		GOOD	0.00	3.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1870	417	2650	0.706	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	7	2001-05-25 11:40:00	CDT	Yes	DJS/VM	USGS	83.99	8230		0.00		FAIR	0.01	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8230	355	1710	4.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	8	2001-11-14 08:17:00	CST	Yes	JFC	USGS	78.51	1070		0.00		FAIR	0.00	1.03	CLER	MEAS	1	Unspecified	WADE	QUNSP		1070	443	824	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05463050	9	2010-10-07 10:00:00	CDT	Yes	KT/JM/JC	USGS	81.15	4310				GOOD	0.00	0.17	CLER	MEAS	1		MBOT	QADCP	VADCP	4310	473	1940	2.22	FIRM	BLDR	UNEV	STDY	EVEN	UNSP	DNST	1000
