#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05465000 Cedar River near Conesville, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05465000	1	1939-09-16 13:30:00	CST	Yes	GLW	USGS	3.61	859.0		0.00		GOOD	0.00		CLER	MEAS	1	Unspecified	CRAN	QUNSP		859.0	233	507	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	2	1939-12-05 13:40:00	CST	Yes	HDB	USGS	3.56	774.0		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		774.0	246	493	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	3	1940-02-02 16:05:00	CST	Yes	RVR/WAS	USGS	4.13	325.0		0.00		GOOD	0.00	1.25	CLER	MEAS	1	Unspecified	ICE	QSCMM		325.0	246	375	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	4	1940-03-19 11:00:00	CST	Yes	HDB	USGS	7.07	5460		0.00		GOOD	-0.06	1.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5460	368	1840	2.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	5	1940-03-20 15:00:00	CST	Yes	HDB	USGS	6.34	4260		0.00		GOOD	-0.03	2.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		4260	361	1540	2.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	6	1940-05-15 16:00:00	CST	Yes	BHR	USGS	4.14	1260		0.00		GOOD	0.00	2.08	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1260	236	802	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	7	1940-06-18 13:30:00	CST	Yes	--W	USGS	3.67	857.0		0.00		UNSP	-0.04	1.91	CLER	MEAS	1	Unspecified	WADE	QUNSP		857.0	472	615	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	8	1940-08-05 08:50:00	CST	Yes	GLW	USGS	5.52	2620		0.00		GOOD	-0.02	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2620	346	1070	2.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	9	1941-02-18 11:10:00	CST	Yes	HHB/CFL	USGS	6.51	3761		0.00		GOOD	-0.19	1.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3761	345	1640	2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	10	1941-03-16 09:20:00	CST	Yes	WIT/--C	USGS	8.74	8440		0.00		FAIR	0.04	1.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8440	364	2490	3.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	11	1941-03-20 08:45:00	CST	Yes	HHB	USGS	7.65	6530				GOOD	0.16	3.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		6530	360	2200	2.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	12	1941-03-25 08:15:00	CST	Yes	HHB	USGS	10.00	11960		0.00		GOOD	-0.04	1.91	CLER	MEAS	1	Unspecified	CRAN	QUNSP		11960	371	3160	3.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	13	1941-05-23 09:50:00	CST	Yes	WIT	USGS	5.03	2030		0.00		GOOD	-0.01	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2030	333	1390	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	14	1941-07-17 09:45:00	CST	Yes	HDB	USGS	5.25	2390		0.00		GOOD	0.00	1.91	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2390	349	1230	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	15	1941-09-10 16:00:00	CST	Yes	HDB	USGS	9.87	11000		0.00		GOOD	0.07	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		11000	373	2990	3.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	16	1941-11-04 14:40:00	CST	Yes	WIT	USGS	10.81	13400		0.00		GOOD	0.04	2.91	CLER	MEAS	1	Unspecified	CRAN	QUNSP		13400	467	3840	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	17	1941-12-04 10:15:00	CST	Yes	PCB/SJM	USGS	6.52	4380		0.00		GOOD	-0.01	2.41	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4380	343	2010	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	18	1942-01-12 15:20:00	CST	Yes	REW/SJM	USGS	7.42	3180		0.00		GOOD	-0.05	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3180	370	1700	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	19	1942-03-02 09:00:00	CDT	Yes	CFL	USGS	5.43	3580		0.00		GOOD	-0.02	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3580	347	1420	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	20	1942-04-08 13:55:00	CDT	Yes	SJM	USGS	1.44	5940		0.00		GOOD	-0.03	3.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5940	351	2350	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05465000	21	1942-05-13 09:45:00	CDT	Yes	PCB/EWL	USGS	7.35	6160		0.00		GOOD	0.01	2.16	CLER	MEAS	1	Unspecified	WADE	QUNSP		6160	362	2090	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
