#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:28 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12116400 CEDAR RIVER AT POWERPLANT AT CEDAR FALLS, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12116400	1	2001-06-29 09:08:00	PDT	Yes	REQ	USGS	31.61	55.8				Good	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	55.8	48.0	77.7	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	2	2001-08-24 10:50:00	PDT	Yes	REQ	USGS	31.18	21.9				Fair	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.9	42.0	55.9	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	3	2001-10-09 11:05:00	PDT	Yes	REQ	USGS	30.74	5.00				Fair	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.00	40.1	41.3	0.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	4	2001-11-14 10:35:00	PST	Yes	REQ	USGS	32.13	136				Fair	0.04	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	136	46.0	101	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	5	2002-01-31 09:37:00	PST	Yes	REQ	USGS	31.26	25.8				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	25.8	45.0	64.6	0.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	6	2002-04-08 13:50:00	PDT	Yes	REQ	USGS	31.29	28.9				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.9	45.0	69.0	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	7	2002-06-03 11:05:00	PDT	Yes	REQ	USGS	31.49	43.5				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	43.5	52.0	72.3	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	8	2002-08-12 13:30:00	PDT	Yes	REQ	USGS	31.24	25.1				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	25.1	41.5	61.0	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116400	9	2002-10-15 10:05:00	PDT	Yes	REQ	USGS	33.06	285				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	285	89.5	152	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
