#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:28 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12116500 CEDAR RIVER AT CEDAR FALLS, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12116500	1M	1912-07-31		Yes	ADM	USGS		146				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		146				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	209	1941-09-20		Yes	SWD	USGS	5.18	68.4				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		68.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	210	1941-10-20		Yes	JCD	USGS	6.37	484				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		484				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	211	1941-11-08		Yes	HCR	USGS	5.15	61.4				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		61.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	212	1941-12-19		Yes	JCD	USGS	6.43	530				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	213	1942-02-07		Yes	WH	USGS	5.95	282				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		282				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	215	1942-03-19		Yes	B/EN	USGS	6.16	393				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		393				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	216	1942-05-11		Yes	MMM	USGS	6.71	746				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		746				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	217	1942-06-18		Yes	WH	USGS	6.81	784				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		784				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	218	1942-08-05		Yes	DJFC	USGS	5.21	72.8				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		72.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	219	1942-09-29		Yes	WHR	USGS	5.09	52.9				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		52.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	220	1942-11-12		Yes	FWK	USGS	5.14	61.5				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		61.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	221	1943-01-07		Yes	HCR	USGS	6.77	749				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		749				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	222	1943-02-15		Yes	EN	USGS	6.74	770				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	223	1943-04-09		Yes	MMM	USGS	6.41	536				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		536				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	224	1943-05-29		Yes	WH/C	USGS	6.80	775				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		775				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	225	1943-07-14		Yes	WDS	USGS	6.80	787				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		787				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	226	1943-09-07		Yes	HMK	USGS	5.63	172				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		172				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	227	1943-11-04		Yes	HCB	USGS	6.28	432				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		432				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	228	1943-12-21		Yes	S/WH	USGS	5.96	279				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		279				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	229	1944-02-17		Yes	DTS	USGS	6.71	715				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		715				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	230	1944-03-28		Yes	WDS	USGS	5.67	181				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		181				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	231	1944-05-05		Yes	EN	USGS	5.21	69.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		69.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	232	1944-06-26		Yes	H/EN	USGS	6.80	729				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		729				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	233	1944-08-08		Yes	DJFC	USGS	6.03	306				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		306				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12116500	234	1944-09-26		Yes	JCI	USGS	5.13	58.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		58.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
