#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:32 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06903400 Chariton River near Chariton, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06903400	1A	1958-03-25 08:35:00	CST	Yes	DER	USGS		13.2		0.00		UNSP				MEAS	1	Unspecified	UNSP			13.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	1B	1959-10-22 09:50:00	CST	Yes	DER	USGS		5.19		0.00		UNSP	0.00			MEAS	1	Unspecified	WADE	QUNSP		5.19	12.0	5.76	0.900	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	1C	1961-10-18 16:00:00	CST	Yes	?S	USGS		59.1		0.00		GOOD	0.00			MEAS	1	Unspecified	WADE	QUNSP		59.1	22.0	36.6	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	1D	1963-10-30 10:50:00	CST	Yes	CHS	USGS		0.082		0.00		FAIR	0.00	0.10		MEAS	1	Unspecified	WADE	QUNSP		0.082	0.900	0.114	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	1	1964-04-21 10:40:00	CST	Yes	TS	USGS	12.55	551.0		0.00		GOOD	-0.07	1.00		MEAS	1	Unspecified	CRAN	QUNSP		551.0	88.0	530	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	1E	1964-10-14 10:15:00	CST	Yes	JTF	USGS		1.16		0.00		UNSP	0.00	0.25		MEAS	1	Unspecified	WADE	QUNSP		1.16	10.0	1.40	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	2	1965-04-05 07:15:00	CST	Yes	RSP	USGS	16.51	1720		0.00		UNSP	-0.04	0.83		MEAS	1	Unspecified	UNSP			1720				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	3	1965-04-05 15:00:00	CST	Yes	RSP	USGS	15.90	1360		0.00		UNSP	0.12	0.75		MEAS	1	Unspecified	UNSP			1360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	4	1965-04-08 15:10:00	CST	Yes	RSP	USGS	16.98	2250		0.00		UNSP	0.03	1.25		MEAS	1	Unspecified	CRAN	QUNSP		2250	176	1220	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06903400	5	1965-05-04 13:15:00	CST	Yes	RJP	USGS	8.37	25.5		0.00		FAIR	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		25.5	39.0	28.8	0.890	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
