#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:39 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06905500 Chariton River near Prairie Hill, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06905500	1	1953-07-03		Yes	HEM	USGS	3.12	137				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	137	83.0	102	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	2	1953-08-12		Yes	HEM	USGS	2.46	35.1				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	35.1	67.6	53.3	0.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	3	1953-09-10		Yes	HEM	USGS	2.20	17.0				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17.0	24.6	17.5	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	4	1953-10-03		Yes	HEM	USGS	2.10	11.1				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11.1	22.2	15.4	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	5	1953-11-05		Yes	HEM	USGS	2.17	9.74				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9.74	23.2	15.1	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	6	1953-12-17		Yes	HEM	USGS	2.36	7.64				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7.64	21.8	15.5	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	7	1954-01-08		Yes	HEM	USGS	2.28	14.0				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14.0	27.2	18.3	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	8	1954-01-22		Yes	HEM	USGS	2.52	8.34				Fair			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8.34	17.6	15.2	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	9	1954-02-09		Yes	cjc	USGS	2.42	24.6				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	24.6	55.0	38.0	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	10	1954-03-09		Yes	homyh	USGS	2.30	17.8				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17.8	29.5	17.5	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	11	1954-03-23		Yes	cjc	USGS	2.36	19.5				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	19.5	48.0	35.6	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	12	1954-04-02		Yes	HEM	USGS	2.66	43.4				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	43.4	74.6	59.6	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	13	1954-04-22		Yes	jph	USGS	11.38	4590				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4590	154	1440	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	14	1954-04-23		Yes	HEM	USGS	9.12	2640				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2640	148	1140	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	15	1954-04-24		Yes	HEM	USGS	5.68	1050				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1050	140	670	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	16	1954-04-29		Yes	HEM	USGS	6.98	1680				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1680	141	828	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	17	1954-05-21		Yes	HEM	USGS	2.75	65.7				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	65.7	47.4	44.6	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	18	1954-06-17		Yes	HEM	USGS	4.46	595				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	595	125	300	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	19	1954-07-01		Yes	HEM	USGS	2.47	45.2				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	45.2	42.8	55.2	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	20	1954-07-16		Yes	HEM	USGS	2.24	19.3				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	19.3	49.0	24.7	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	21	1954-07-28		Yes	HEM	USGS	2.24	16.6				Fair			FillControlChanged	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16.6	45.0	19.8	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	22	1954-08-12		Yes	HEM	USGS	3.64	339				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	339	123	181	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	23	1954-08-31		Yes	HEM	USGS	3.39	227				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	227	122	161	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	24	1954-09-10		Yes	HEM	USGS	2.41	37.3				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	37.3	35.4	43.2	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	25	1954-10-01		Yes	HEM	USGS	3.26	191				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	191	120	137	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	26	1954-10-28		Yes	HEM	USGS	2.83	103				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	103	94.0	116	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	27	1954-11-16		Yes	HEM	USGS	2.45	37.1				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	37.1	90.0	56.2	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	28	1954-12-04		Yes	HEM	USGS	2.37	31.1				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	31.1	87.0	48.6	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	29	1954-12-13		Yes	HEM	USGS	2.14	15.1				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15.1	26.2	17.3	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	30	1955-01-06		Yes	HEM	USGS	13.76	8260				Poor			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8260	159	2380	3.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	31	1955-01-07		Yes	HEM	USGS	11.30	5630				Poor			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5630	154	2140	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	32	1955-01-24		Yes	HEM	USGS	2.90	85.8				Fair			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	85.8	66.0	92.0	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	33	1955-03-03		Yes	HEM	USGS	8.10	2340				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2340	145	874	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	34	1955-03-31		Yes	HEM	USGS	4.17	526				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	526	135	320	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	35	1955-04-12		Yes	HEM	USGS	3.30	243				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	243	118	199	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	36	1955-05-10		Yes	HEM	USGS	3.10	191				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	191	130	175	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	37	1955-05-24		Yes	HEM	USGS	4.64	696				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	696	132	411	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	38	1955-05-29		Yes	HEM	USGS	8.68	2550				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2550	148	1380	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	39	1955-06-14		Yes	HEM	USGS	2.98	125				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	125	96.0	120	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	40	1955-07-12		Yes	HEM	USGS	2.57	72.7				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	72.7	94.0	105	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	41	1955-07-26		Yes	HEM	USGS	2.92	150				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	150	103	125	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	42	1955-08-23		Yes	HEM	USGS	2.15	23.0				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	23.0	66.0	41.2	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	43	1955-09-10		Yes	HEM	USGS	2.06	15.0				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15.0	64.0	35.1	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	44	1955-10-04		Yes	HEM	USGS	2.28	41.4				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	41.4	78.0	51.7	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	45	1955-10-18		Yes	HEM	USGS	2.43	30.9				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	30.9	87.0	64.4	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	46	1955-11-11		Yes	HEM	USGS	2.31	20.7				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20.7	83.0	55.0	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	47	1956-01-07		Yes	HEM	USGS	2.22	9.24				Fair			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9.24	42.4	19.4	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	48	1956-02-10		Yes	HEM	USGS	2.52	23.1				Poor			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	23.1	81.0	69.0	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	49	1956-02-24		Yes	HEM	USGS	2.50	44.0				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	44.0	95.0	70.5	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	50	1956-03-09		Yes	HEM	USGS	2.52	50.2				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50.2	94.0	76.5	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	51	1956-03-30		Yes	HEM	USGS	2.20	18.5				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	18.5	84.0	51.4	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	52	1956-04-14		Yes	HEM	USGS	2.11	14.7				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14.7	80.0	42.3	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	53	1956-04-28		Yes	HEM	USGS	2.18	22.2				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	22.2	46.0	23.6	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	54	1956-05-26		Yes	HEM	USGS	2.00	10.5				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10.5	56.0	22.3	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	55	1956-06-16		Yes	HEM	USGS	1.91	9.09				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9.09	34.0	14.6	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	56	1956-07-07		Yes	HEM	USGS	3.96	350				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	350	133	751	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	57	1956-08-04		Yes	HEM	USGS	7.10	1790				Poor			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1790	140	1080	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	58	1956-08-09		Yes	HEM	USGS	5.26	966				Poor			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	966	134	695	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	59	1956-09-08		Yes	HEM	USGS	2.16	28.1				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	28.1	90.0	65.1	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	60	1956-09-18		Yes	HEM	USGS	2.04	16.1				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16.1	86.0	51.8	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	61	1956-10-16		Yes	HEM	USGS	1.94	10.5				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10.5	33.0	14.5	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	62	1956-12-01		Yes	HEM	USGS	1.90	9.21				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9.21	41.0	13.7	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	63	1956-12-18		Yes	HEM	USGS	2.07	12.4				Fair			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12.4	35.0	22.3	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	64	1957-02-21		Yes	HEM	USGS	1.97	12.3				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12.3	37.0	16.3	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	65	1957-03-14		Yes	HEM	USGS	2.01	14.8				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14.8	40.0	18.8	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	66	1957-03-30		Yes	HEM	USGS	3.10	252				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	252	124	302	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	67	1957-04-04		Yes	HEM	USGS	9.58	3090				Fair			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3090	152	1070	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06905500	68	1957-05-07		Yes	HEM	USGS	2.98	150				Fair			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	150	132	160	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
