#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01103305 CHARLES RIVER NEAR MILLIS, MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01103305	53	1968-08-30		Yes	?	USGS		13.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		13.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	54	1982-08-24		Yes	?	USGS		38.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		38.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	55	1982-08-30		Yes	?	USGS		33.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		33.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	56	1982-09-10		Yes	?	USGS		29.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		29.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	57	1982-09-13		Yes	?	USGS		24.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		24.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	58	1983-06-24		Yes	?	USGS		60.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		60.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	59	1983-07-11		Yes	?	USGS		31.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		31.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	60	1983-07-20		Yes	?	USGS		24.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		24.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01103305	61	1983-08-10		Yes	?	USGS		23.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		23.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
