#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:17:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02330450 CHATTAHOOCHEE RIVER AT HELEN, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02330450	1	1952-10-30 13:45:00	EST	Yes	MAL	USGS		28.9		0.00		FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		28.9	38.0	30.3	0.950	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	2	1954-10-15 14:20:00	EST	Yes	CSH	USGS		29.4		0.00		EXCL				MEAS	1	Unspecified	UNSP			29.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	3	1981-05-07 12:15:00	EDT	Yes	GAB	USGS	0.68	76.4	 1.0	0.00	-2.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		76.4	55.0	63.8	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	4	1981-06-12 08:40:00	EDT	Yes	JDE	USGS	0.96	133.0	 1.0	0.00	1.50	GOOD	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		133.0	59.0	92.0	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	5	1981-07-21 17:00:00	EDT	Yes	JDE	USGS	0.52	57.0	 1.0	0.00	4.80	GOOD	0.01	0.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		57.0	54.0	60.9	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	6	1981-09-02 12:45:00	EDT	Yes	MEP	USGS	0.38	37.6	 1.0	0.00	-0.500	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		37.6	28.0	17.1	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	8	1981-10-22 14:25:00	EDT	Yes	CAL	USGS	0.32	31.9	 2.0	0.00	3.90	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.9	34.5	31.3	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	7	1981-10-31 12:45:00	EST	Yes	JDE	USGS	0.32	30.8	 2.0	0.00	0.300	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.8	38.0	40.8	0.750	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	9	1981-12-02 15:25:00	EST	Yes	GAB	USGS	0.82	100.0	 2.0	0.00	4.60	GOOD	-0.01	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		100.0	58.0	89.1	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	10	1982-01-04 10:20:00	EST	Yes	MEP	USGS	2.66	849.0	 2.0	0.00	2.50	GOOD	-0.07	0.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		849.0	85.0	206	4.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	11	1982-01-04 15:05:00	EST	Yes	MEP	USGS	2.28	609.0	 2.0	0.00	-2.10	GOOD	-0.06	0.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		609.0	82.0	171	3.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02330450	12	1982-01-05 12:05:00	EST	Yes	MEP	USGS	1.54	306.0	 2.0	0.00	4.10	GOOD	-0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		306.0	62.0	97.0	3.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
