#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02335000 CHATTAHOOCHEE RIVER NEAR NORCROSS, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02335000	1	1903-01-09		Yes	WEH	USGS	2.70	1837		0.00		UNSP				UNSP	1	Unspecified	UNSP			1837				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	2	1903-03-14		Yes	WEH	USGS	5.35	4940		0.00		UNSP				UNSP	1	Unspecified	UNSP			4940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	3	1903-05-05		Yes	WEH	USGS	4.08	3543		0.00		UNSP				UNSP	1	Unspecified	UNSP			3543				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	4	1903-05-29		Yes	WEH	USGS	3.15	2378		0.00		UNSP				UNSP	1	Unspecified	UNSP			2378				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	5	1903-06-26		Yes	WEH	USGS	3.16	2447		0.00		UNSP				UNSP	1	Unspecified	UNSP			2447				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	6	1903-07-17		Yes	WEH	USGS	3.06	2254		0.00		UNSP				UNSP	1	Unspecified	UNSP			2254				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	7	1903-07-17		Yes	WEH	USGS	3.06	2255		0.00		UNSP				UNSP	1	Unspecified	UNSP			2255				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	11	1903-08-19		Yes	WEH	USGS	3.05	2203		0.00		UNSP				UNSP	1	Unspecified	UNSP			2203				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	9	1903-08-19		Yes	WEH	USGS	3.05	2288		0.00		UNSP				UNSP	1	Unspecified	UNSP			2288				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	10	1903-08-19		Yes	WEH	USGS	3.15	2281		0.00		UNSP				UNSP	1	Unspecified	UNSP			2281				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	8	1903-08-19		Yes	WEH	USGS	3.15	2337		0.00		UNSP				UNSP	1	Unspecified	UNSP			2337				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	12	1903-09-26		Yes	WEH	USGS	2.06	1197		0.00		UNSP				UNSP	1	Unspecified	UNSP			1197				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	13	1903-10-23		Yes	WEH	USGS	1.94	1078		0.00		UNSP				UNSP	1	Unspecified	UNSP			1078				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02335000	15	1903-11-25		Yes	WEH	USGS	1.95	1071		0.00		UNSP				UNSP	1	Unspecified	UNSP			1071				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
