#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02336000 CHATTAHOOCHEE RIVER AT ATLANTA, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02336000	1	1905-05-04		Yes	WEH	USGS	3.11	1970		0.00		UNSP				UNSP	1	Unspecified	UNSP			1970				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	2	1905-08-18		Yes	BMH	USGS	3.28	2000		0.00		UNSP				UNSP	1	Unspecified	UNSP			2000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	3	1905-08-18		Yes	BMH	USGS	3.17	1860		0.00		UNSP				UNSP	1	Unspecified	UNSP			1860				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	5	1905-11-27		Yes	BMH	USGS	2.34	1000		0.00		UNSP				UNSP	1	Unspecified	UNSP			1000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	6	1906-06-08		Yes	BMH	USGS	3.32	2080		0.00		UNSP				UNSP	1	Unspecified	UNSP			2080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	7	1906-08-08		Yes	WEH	USGS	4.32	3620		0.00		UNSP				UNSP	1	Unspecified	UNSP			3620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	8	1917-10-20		Yes	WEH	USGS	4.62	3930		0.00		UNSP				UNSP	1	Unspecified	UNSP			3930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	10	1928-07-19		Yes	HAP	USGS	5.10	4840		0.00		UNSP	0.05	1.50		MEAS	1	Unspecified	UNSP			4840				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	11	1928-08-13		Yes	WWW	USGS	3.71	2370		0.00		UNSP	-0.04	2.00		MEAS	1	Unspecified	UNSP			2370				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	12	1928-09-06		Yes	CHP	USGS	6.83	7980		0.00		UNSP	-0.12	2.20		MEAS	1	Unspecified	UNSP			7980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	13	1928-09-22		Yes	PPW	USGS	3.44	1990		0.00		UNSP	-0.02	1.50		MEAS	1	Unspecified	UNSP			1990				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	14	1928-10-15		Yes	CHP	USGS	3.04	1490		0.00		UNSP	-0.01	1.20		MEAS	1	Unspecified	UNSP			1490				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	15	1928-10-22		Yes	GDT	USGS	3.60	2270		0.00		UNSP				UNSP	1	Unspecified	UNSP			2270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	16	1928-11-29		Yes	WAC	USGS	3.14	1770		0.00		UNSP	0.00	1.80		MEAS	1	Unspecified	UNSP			1770				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	17	1929-01-06		Yes	CHP	USGS	2.78	1250		0.00		UNSP	0.36	1.60		MEAS	1	Unspecified	UNSP			1250				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02336000	18	1929-03-01		Yes	CHP	USGS	13.89	19800		0.00		UNSP	-0.10	1.70		MEAS	1	Unspecified	UNSP			19800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
