#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:12 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02339500 CHATTAHOOCHEE RIVER AT WEST POINT, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02339500	47A	1901-03-12		Yes	WEH	USGS	4.34	6010		0.00		UNSP				UNSP	1	Unspecified	UNSP			6010				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	48A	1901-08-06		Yes	WEH	USGS	3.00	3440		0.00		UNSP				UNSP	1	Unspecified	UNSP			3440				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	49A	1901-10-28		Yes	WEH	USGS	2.80	2910		0.00		UNSP				UNSP	1	Unspecified	UNSP			2910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	50A	1902-01-15		Yes	WEH	USGS	3.50	4360		0.00		UNSP				UNSP	1	Unspecified	UNSP			4360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	51A	1902-07-25		Yes	WEH	USGS	2.00	1920		0.00		UNSP				UNSP	1	Unspecified	UNSP			1920				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	52A	1903-01-06		Yes	WEH	USGS	3.95	5060		0.00		UNSP				UNSP	1	Unspecified	UNSP			5060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	53A	1903-04-22		Yes	WEH	USGS	5.39	8710		0.00		UNSP				UNSP	1	Unspecified	UNSP			8710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	54A	1903-06-05		Yes	WEH	USGS	9.70	20960		0.00		UNSP				UNSP	1	Unspecified	UNSP			20960				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02339500	55A	1903-06-06		Yes	WEH	USGS	11.30	25620		0.00		UNSP				UNSP	1	Unspecified	UNSP			25620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
