#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02341500 CHATTAHOOCHEE RIVER AT COLUMBUS, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02341500	1	1926-07-20		Yes	PEH	USGS	1.93	2260		0.00		UNSP	-0.10	1.50		MEAS	1	Unspecified	UNSP			2260				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	2	1926-11-08		Yes	PEH	USGS	2.13	2510		0.00		UNSP	0.10	1.30		MEAS	1	Unspecified	UNSP			2510				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	3	1927-01-11		Yes	PRS	USGS	4.22	5080		0.00		UNSP				MEAS	1	Unspecified	UNSP			5080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	4	1927-01-12		Yes	PRS	USGS	3.81	4250		0.00		UNSP	0.02	3.50		MEAS	1	Unspecified	UNSP			4250				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	5	1927-02-16		Yes	PEH	USGS	14.55	21300		0.00		UNSP	0.40	1.80		MEAS	1	Unspecified	UNSP			21300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	6	1927-04-07		Yes	PEH	USGS	4.43	4330		0.00		UNSP	0.17	1.80		MEAS	1	Unspecified	UNSP			4330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	7	1927-04-25		Yes	PEH	USGS	6.08	5280		0.00		UNSP	-0.53	1.50		MEAS	1	Unspecified	UNSP			5280				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	8	1927-05-19		Yes	MTT	USGS	3.03	3090		0.00		UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			3090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	9	1927-07-20		Yes	PEH	USGS	10.72	14300		0.00		UNSP	-0.08	2.00		MEAS	1	Unspecified	UNSP			14300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	10	1927-10-12		Yes	PEH	USGS	1.70	2430		0.00		UNSP	0.43	1.30		MEAS	1	Unspecified	UNSP			2430				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	11	1927-12-27		Yes	PEH	USGS	2.22	2320		0.00		UNSP	0.11	1.30		MEAS	1	Unspecified	UNSP			2320				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	12	1928-02-07		Yes	PEH	USGS	4.19	4490		0.00		UNSP	0.00	1.80		MEAS	1	Unspecified	UNSP			4490				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	13	1928-04-10		Yes	PEH	USGS	6.22	6800		0.00		UNSP	-0.03	1.50		MEAS	1	Unspecified	UNSP			6800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	14	1928-05-31		Yes	PEH	USGS	7.29	8980		0.00		UNSP	0.22	1.50		MEAS	1	Unspecified	UNSP			8980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	15	1928-07-24		Yes	CHP	USGS	3.62	3930		0.00		UNSP	-0.04	2.00		MEAS	1	Unspecified	UNSP			3930				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	16	1928-10-16		Yes	CHP	USGS	2.54	2640		0.00		UNSP	-0.72	1.80		MEAS	1	Unspecified	UNSP			2640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	17	1929-01-14		Yes	CHP	USGS	5.51	5910		0.00		UNSP	-0.25	2.30		MEAS	1	Unspecified	UNSP			5910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	18	1929-03-23		Yes	CHP	USGS	17.95	26400		0.00		UNSP	3.30	2.30		MEAS	1	Unspecified	UNSP			26400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	19	1929-05-02		Yes	CHP	USGS	19.50	30600		0.00		UNSP	0.40	3.10		MEAS	1	Unspecified	UNSP			30600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	20	1929-08-23		Yes	JLS	USGS	5.12	4380		0.00		UNSP	-0.06	3.00		MEAS	1	Unspecified	UNSP			4380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	21	1929-09-09		Yes	CHP	USGS	3.88	2750		0.00		UNSP	0.03	1.80		MEAS	1	Unspecified	UNSP			2750				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	22	1929-09-20		Yes	CHP	USGS	8.35	8580		0.00		UNSP	-0.65	1.80		MEAS	1	Unspecified	UNSP			8580				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02341500	23	1929-09-21		Yes	CHP	USGS	7.36	7360		0.00		UNSP	-0.80	2.10		MEAS	1	Unspecified	UNSP			7360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
