#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02342881 CHATTAHOOCHEE RIVER AT SPUR 39, NEAR OMAHA, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02342881	1	2009-09-26 13:33:30	EDT	Yes	CAS/SRS	USGS	191.39	54400	   1		0.0	FAIR	0.12	0.32	CLER	UNSP	1		MBOT	QADCP	VADCP	54400	484	18500	2.94	FIRM	SAND	EVEN	STDY	EVEN	UNSP	UPST	1200
USGS	02342881	2	2009-10-07 14:51:00	EDT	Yes	MSR/ACD	USGS	189.23	9490	   1		1.2	FAIR	0.00	0.33	UNSP	UNSP	1		MBOT	QADCP	VADCP	9490	600	19200	0.50	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	100
USGS	02342881	3	2009-12-07 17:25:30	EST	Yes	MSR/ACD	USGS	187.84	22700	   1		-2.2	FAIR	0.00	0.28	SUBM	UNSP	1		MBOT	QADCP	VADCP	22700	572	17700	1.29	FIRM	SAND	UNEV	STDY	EVEN	UNSP	DNST	150
USGS	02342881	4	2010-02-03 10:03:30	EST	Yes	ACD/MSR	USGS	187.56	12800	   1		-2.3	GOOD	0.00	0.28	SUBM	UNSP	1		MBOT	QADCP	VADCP	12800	569	17500	0.73	FIRM	SAND	UNEV	STDY	EVEN	UNSP	DNST	200
USGS	02342881	5	2010-04-07 09:28:30	EDT	Yes	MSR/ACD	USGS	187.79	1420	   1		54.5	POOR	0.00	0.32	SUBM	UNSP	1		MBOT	QADCP	VADCP	1420	604	17700	0.08	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	02342881	6	2010-06-08 18:06:30	EDT	Yes	MSR/ACD	USGS	189.68	8510	   1		-2.5	FAIR	0.02	0.32	SUBM	UNSP	1		MBOT	QADCP	VADCP	8510	574	19000	0.45	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	DNST	200
USGS	02342881	7	2010-08-03 20:42:00	EDT	Yes	MSR/ACD	USGS	188.90	11000	   1		10.0	GOOD	0.00	0.27		UNSP	1		MBOT	QADCP	VADCP	11000	585	18200	0.60	FIRM	SAND	EVEN	UNSP	EVEN	UNSP	DNST	150.00
USGS	02342881	8	2010-08-04 03:28:00	EDT	Yes	ACD/MSR	USGS	188.79	-2360	   1		212	POOR	0.00	0.33		UNSP	1		MBOT	QADCP	VADCP	-2360	612	19100	-0.12	FIRM	SAND	EVEN	UNSP	UNEV	UNSP	UNSP	
USGS	02342881	9	2010-10-12 14:49:30	EDT	Yes	MSR/ACD	USGS	187.89	1460	   1		-33.9	POOR	0.00	0.45		UNSP	1		MBOT	QADCP	VADCP	1460	576	18100	0.08	FIRM	SAND	UNSP	UNSP	UNEV	UNSP	DNST	200.00
USGS	02342881	10	2011-01-12 15:08:30	EST	Yes	ACD/MSR	USGS	187.92	10600	   1		2.9	GOOD	-0.05	0.25	UNSP	UNSP	1		MBOT	QADCP	VADCP	10600	578	17900	0.59	FIRM	SAND	EVEN	UNSP	EVEN	UNKN	DNST	200.00
USGS	02342881	11	2011-02-01 14:33:30	EST	Yes	ACD/MSR	USGS	188.36	-406	   1		117	POOR	0.01	0.28		UNSP	1		MBOT	QADCP	VADCP	-406	579	18200	-0.02	FIRM	UNSP	EVEN	PULS	UNEV	UNKN	DNST	200.00
USGS	02342881	12	2011-02-08 15:19:30	EST	Yes	MSR/ACD	USGS	189.65	18000	   1		2.3	FAIR	0.00	0.55		UNSP	1		MBOT	QADCP	VADCP	18000	584	18800	0.96	FIRM	SAND	EVEN	PULS	EVEN	UNSP	DNST	200.00
USGS	02342881	13	2011-03-09 09:52:30	EST	Yes	ACD/MSR	USGS	188.26	12400	   1		-0.8	GOOD	0.00	0.32	UNSP	UNSP	1		MBOT	QADCP	VADCP	12400	580	17800	0.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02342881	14	2011-05-04 11:01:30	EDT	Yes	MSR/ACD	USGS	186.88	8630	   1		0.8	FAIR	0.00	0.28	UNSP	UNSP	1		MBOT	QADCP	VADCP	8630	578	17300	0.50	FIRM	SAND	EVEN	UNSP	EVEN	UNSP	DNST	200.00
USGS	02342881	15	2011-07-05 18:59:00	EDT	Yes	AWR/MSR	USGS	187.41	9140	   1		11.9	FAIR	-0.02	0.23		UNSP	1		MBOT	QSCMM	VADCP	9140	581	17300	0.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02342881	16	2011-10-04 14:12:00	EDT	Yes	MSR/AWR	USGS	184.65	1140	   1		-42.7	POOR	0.00	0.50		UNSP	1		MBOT	QADCP	VADCP	1140	540	16700	0.07	FIRM	UNSP	EVEN	STDY	EVEN	STND	DNST	150.00
USGS	02342881	17	2011-12-20 14:42:00	EST	Yes	MSR/AWR	USGS	185.35	-169	   1		-112	POOR	0.01	0.23	UNSP	UNSP	1		MBOT	QADCP	VADCP	-169	570	17600	-0.01	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	200.00
