#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02343805 CHATTAHOOCHEE RIVER AT MILE 46 NEAR COLUMBIA, ALA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02343805	1	2009-06-18 14:15:00	EDT	Yes	MSR	USGS	77.09	1770	 1.0		11.3	FAIR		0.47	UNSP	MEAS	1		MBOT	QADCP	VADCP	1770	340	4660	0.38	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	DNST	150
USGS	02343805	2	2009-07-29 13:24:00	EDT	Yes	MSR	USGS	76.71	1420	 1.0		-13.9	FAIR		0.73	UNSP	MEAS	1		MBOT	QADCP	VADCP	1420	332	4340	0.33	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	02343805	3	2009-09-26 13:06:30	EDT	Yes	MSR	USGS	98.78	51500	 1.0		-7.7	FAIR		0.22	UNSP	MEAS	1		MBOT	QADCP	VADCP	51500	393	12900	3.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02343805	4	2009-10-13 16:23:00	EDT	Yes	MSR	USGS	83.70	19200	 1.0		3.8	FAIR		0.23	UNSP	MEAS	1		MBOT	QADCP	VADCP	19200	340	6890	2.79	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	DNST	150
USGS	02343805	5	2009-12-16 13:52:00	EST	Yes	AJG/RAT	USGS	109.85	87000	 1.0		-3.5	FAIR		0.30	UNSP	MEAS	1		MBOT	QADCP	VADCP	87000	414	16900	5.15	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	200
USGS	02343805	6	2010-01-07 11:36:30	EST	Yes	MSR	USGS	82.18	14300	 1.0		14.4	FAIR		0.22	UNSP	UNSP	1		MBOT	QADCP	VADCP	14300	351	6270	2.28	UNSP	UNSP	UNSP	STDY	EVEN	UNSP	DNST	100
USGS	02343805	7	2010-03-08 16:41:30	EST	Yes	MSR/ACD	USGS	82.44	10700	 1.0		0.9	GOOD	0.10	0.18	UNSP	MEAS	1		MBOT	QADCP	VADCP	10700	335	6160	1.73	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	02343805	8	2010-05-04 12:46:30	EDT	Yes	MSR/ACD	USGS	91.54	40400	 1.0	-0.88	1.8	FAIR	0.25	0.18	SUBM	UNSP	1		MBOT	QADCP	VADCP	40400	376	9260	4.08	FIRM	SAND	EVEN	STDY	EVEN	UNSP	DNST	150
USGS	02343805	9	2010-07-21 10:40:00	EDT	Yes	MSR/ACD	USGS	76.86	2130	 1.0	-0.10	15.1	GOOD	-0.03	0.20	UNSP	UNSP	1		MBOT	QADCP	VADCP	2130	347	3400	0.63	FIRM	SAND	EVEN	STDY	EVEN	UNFM	DNST	150.00
