#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:18:22 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02344000 CHATTAHOOCHEE RIVER AT ALAGA, ALA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02344000	1	1938-04-14		Yes	USE	USGS	24.30	34200		0.00	-3.90	UNSP	-0.04	0.90		MEAS	1	Unspecified	UNSP			34200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	2	1938-04-14		Yes	USE	USGS	22.50	27900		0.00		UNSP	-1.00	1.80		MEAS	1	Unspecified	UNSP			27900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	3	1938-04-15		Yes	USE	USGS	15.80	18100		0.00		UNSP	-0.20	0.70		MEAS	1	Unspecified	UNSP			18100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	4	1938-04-17		Yes	USE	USGS	12.77	14100		-1.00	2.20	UNSP	-0.03	1.00		MEAS	1	Unspecified	UNSP			14100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	5	1938-04-24		Yes	USE	USGS	18.95	23700		-1.00	0.00	UNSP	-0.30	1.40		MEAS	1	Unspecified	UNSP			23700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	6	1938-05-15		Yes	USE	USGS	9.45	9160		-1.00	-0.200	UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			9160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	7	1938-07-22		Yes	USE	USGS	12.65	14900		0.00	-1.30	UNSP	0.35	1.70		MEAS	1	Unspecified	UNSP			14900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	9	1938-07-25		Yes	USE	USGS	19.40	30700		0.00	17.0	UNSP	0.40	1.80		MEAS	1	Unspecified	UNSP			30700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	8	1938-07-25		Yes	USE	USGS	16.40	22800		0.00	8.10	UNSP	0.55	2.20		MEAS	1	Unspecified	UNSP			22800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	10	1938-07-27		Yes	USE	USGS	27.30	44400		0.00	6.70	UNSP	-0.20	1.40		MEAS	1	Unspecified	UNSP			44400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	11	1938-07-29		Yes	USE	USGS	18.19	23800		0.00	-1.20	UNSP	-0.22	1.20		MEAS	1	Unspecified	UNSP			23800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	12	1938-07-31		Yes	USE	USGS	12.18	13600		-1.00	4.60	UNSP	-0.05	1.30		MEAS	1	Unspecified	UNSP			13600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	13	1938-09-08		Yes	USE	USGS	5.98	5980		-0.600	8.90	UNSP	-0.05	1.50		MEAS	1	Unspecified	UNSP			5980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	14	1938-10-22		Yes	USE	USGS	3.80	3120		-0.600	-2.50	UNSP	0.00	3.80		MEAS	1	Unspecified	UNSP			3120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	15	1939-01-01		Yes	USE	USGS	7.72	8070		-0.200	0.600	UNSP	-0.05	1.40		MEAS	1	Unspecified	UNSP			8070				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	16	1939-02-07		Yes	USE	USGS	17.15	21300		0.00	-4.90	UNSP	-0.30	2.20		MEAS	1	Unspecified	UNSP			21300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	17	1939-02-14		Yes	USE	USGS	14.20	17600		0.00	0.600	UNSP	-0.40	1.50		MEAS	1	Unspecified	UNSP			17600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	18	1939-02-24		Yes	USE	USGS	20.45	29200		0.00	3.50	UNSP	-0.30	2.00		MEAS	1	Unspecified	UNSP			29200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	19	1939-03-04		Yes	USE	USGS	36.30	70700		0.00		UNSP	-0.20	3.10		MEAS	1	Unspecified	UNSP			70700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	20	1939-12-11		Yes	USE	USGS	4.00	3880		-0.200	2.10	UNSP	0.00	1.30		MEAS	1	Unspecified	UNSP			3880				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	21	1940-02-20		Yes	USE	USGS	6.50	7870		0.00	16.0	UNSP	0.00	1.70		MEAS	1	Unspecified	UNSP			7870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	22	1940-03-03		Yes	USE	USGS	6.10	7170		0.00	13.0	UNSP	0.00	1.50		MEAS	1	Unspecified	UNSP			7170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	23	1940-04-25		Yes	USE	USGS	6.30	6580		0.00	0.300	UNSP	0.00	1.80		MEAS	1	Unspecified	UNSP			6580				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	24	1940-05-15		Yes	USE	USGS	5.24	5410		0.00	2.40	UNSP	0.08	2.20		MEAS	1	Unspecified	UNSP			5410				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	25	1940-05-20		Yes	USE	USGS	3.01	3000		0.00	-0.300	UNSP	-0.02	1.60		MEAS	1	Unspecified	UNSP			3000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	26	1940-05-29		Yes	USE	USGS	3.22	3060		0.00	-5.00	UNSP	0.04	1.20		MEAS	1	Unspecified	UNSP			3060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	27	1940-06-07		Yes	USE	USGS	2.63	2890		0.00	9.90	UNSP	-0.01	1.50		MEAS	1	Unspecified	UNSP			2890				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	28	1942-04-23		Yes	USE	USGS	10.02	9940		-1.00	0.100	UNSP	-0.02	2.00		MEAS	1	Unspecified	UNSP			9940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	29	1942-08-01		Yes	USE	USGS	6.02	5510		-0.600	-0.400	UNSP	-0.02	1.50		MEAS	1	Unspecified	UNSP			5510				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	30	1943-01-23		Yes	USE	USGS	27.76	38200		0.00		UNSP	-0.91	2.20		MEAS	1	Unspecified	UNSP			38200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	31	1943-03-19		Yes	USE	USGS	35.82	70000		0.00	4.20	UNSP	0.14	2.20		MEAS	1	Unspecified	UNSP			70000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	32	1943-03-22		Yes	USE	USGS	39.52	88900		0.00	0.300	UNSP	0.53	3.50		MEAS	1	Unspecified	UNSP			88900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	33	1943-03-23		Yes	USE	USGS	41.25	103000		0.00	1.00	UNSP	0.35	5.70		MEAS	1	Unspecified	UNSP			103000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02344000	34	1943-03-24		Yes	USE	USGS	42.22	113000		0.00	0.900	UNSP	-0.05	4.80		MEAS	1	Unspecified	UNSP			113000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
