#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:19:26 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07154500 Cimarron River near Kenton, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07154500	1	1958-07-06		Yes	RAT/EXT	USGS	18.67	26300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		26300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	2	1965-10-17		Yes	CON/OPE	USGS	22.32	43400				Unspecified				UNSP	1	Imported Channel 1	OTHR	other		43400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	482	1973-07-25 08:45:00	CDT	Yes	CRH	USGS	9.73	948				Good	-0.49	0.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	948	100	281	3.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	483	1973-07-25 14:45:00	CDT	Yes	CRH	USGS	10.60	1410				Good	-0.23	0.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1410	104	347	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	484	1973-07-25 18:30:00	CDT	Yes	CRH	USGS	8.83	602				Good	-0.16	0.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	602	90.0	164	3.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	485	1973-07-26 13:45:00	CDT	Yes	CRH	USGS	6.80	46.4				Good	-0.07	0.30		MEAS	1	Imported Channel 1	UNSP	other		46.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	495	1974-08-12 13:50:00	CDT	Yes	CRH	USGS	6.99	212				Good	-0.06	0.50		MEAS	1	Imported Channel 1	UNSP	other		212				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	513	1977-04-12 04:25:00	CST	Yes	TEC	USGS	11.11	2430				Fair	-0.02	0.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2430	110	411	5.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	514	1977-04-12 09:30:00	CST	Yes	TEC	USGS	10.65	1740				Fair	-0.20	0.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1740	102	353	4.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	515	1977-04-12 11:00:00	CST	Yes	TEC	USGS	9.69	1060				Fair	-0.22	0.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1060	90.0	240	4.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07154500	518	1977-08-02 11:12:00	CDT	Yes	TEC	USGS	7.11	182				Good	-0.01	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	182	76.0	127	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
