#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:19:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07157740 CIMARRON R NR BUTTERMILK, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07157740	79	2014-06-02 12:11:00	CDT	Yes	DCM	USGS	7.46	0.52				POOR	0.00	0.30	MDDB	MEAS	1	1	WADE	QSCMM	VADV	0.52	27.0	10.8	0.05	SOFT	SILT	EVEN	STDY	UNEV	STND	UPST	20.00
USGS	07157740	80	2014-10-01 12:02:51	CDT	Yes	DCM	USGS	9.04	52.5	0001	0.00	-1.7	FAIR	-0.02		LGDB	MEAS	1	Main	BRDS	QADCP	VADCP	52.5	31.2	66.8	0.79	SOFT	SILT	EVEN	STDY	EVEN	UNFM	DNST	25.00
USGS	07157740	81	2014-11-20 12:55:00	CST	Yes	SWH/DCM	USGS	7.62	1.23	0001	-0.34	0.0	POOR	-0.01	0.45	HVDB	MEAS	1	1	WADE	QSCMM	VADV	1.23	5.70	1.65	0.74	SOFT	SAND	EVEN	STDY	EVEN	UNKN	DNST	150.00
USGS	07157740	82	2015-01-13 11:53:30	CST	Yes	SWH	USGS	8.19	21.0	0001		-8.7	GOOD	0.10	0.49	SICE	MEAS	1	1	WADE	QSCMM	VADV	21.0	17.5	16.8	1.25	SOFT	SAND	EVEN	STDY	EVEN	UNKN	DNST	200.00
USGS	07157740	83	2015-02-24 14:54:55	CST	Yes	SWH	USGS	7.88	17.9	0001	0.16	0.0	FAIR	0.00	0.20	LGDB	MEAS	1	1	BRDS	QADCP	VADCP	17.9	21.8	22.2	0.81	SOFT	SAND	EVEN	STDY	EVEN	NSTD	ATGA	0.00
USGS	07157740	84	2015-03-31 14:43:00	CDT	Yes	SWH	USGS	7.77	8.47	0001	-0.04	-0.2	FAIR	0.00	0.50	MAMD	MEAS	1	1	WADE	QSCMM	VADV	8.47	13.0	12.8	0.66	SOFT	SAND	EVEN	STDY	EVEN	UNKN	UPST	120.00
USGS	07157740	85	2015-04-17 13:17:09	CDT	Yes	SWH	USGS	8.15	20.4	0001	-0.04	0.0	FAIR	0.00	0.20	MDDB	MEAS	1	1	BRDS	QADCP	VADCP	20.4	29.9	29.0	0.70	SOFT	SAND	EVEN	STDY	EVEN	NSTD	ATGA	0.00
USGS	07157740	86	2015-05-19 11:17:22	CDT	Yes	SWH	USGS	9.78	114	0002		0.0	FAIR	0.00	0.20	LGDB	MEAS	1	1	BRDS	QADCP	VADCP	114	60.5	108	1.06	SOFT	SAND	EVEN	STDY	EVEN	NSTD	ATGA	0.00
USGS	07157740	87	2015-05-24 11:22:16	CDT	Yes	SWH	USGS	10.54	237	0002		1.3	GOOD	0.00	0.20	LGDB	MEAS	1	1	BRDS	QADCP	VADCP	237	93.1	180	1.31	SOFT	SAND	EVEN	PULS	EVEN	STND	ATGA	0.00
