#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:19:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07159100 Cimarron River near Dover, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07159100	101	1980-10-17		Yes	DLB	USGS	12.40	781				Good	-0.07	0.70		MEAS	1	Imported Channel 1	UNSP	other		781				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	102	1980-12-15		Yes	RDG	USGS	10.83	103				Fair	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		103				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	103	1981-03-18		Yes	RDG	USGS	11.26	265				Good	0.02	0.70		MEAS	1	Imported Channel 1	UNSP	other		265				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	104	1981-04-14		Yes	RDG	USGS	10.64	62.7				Fair	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		62.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	105	1981-05-13		Yes	MRJ	USGS	13.23	1860				Fair	-0.03	1.10		MEAS	1	Imported Channel 1	UNSP	other		1860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	106	1981-06-02		Yes	SAP/RDG	USGS	14.40	3060				Fair	-0.13	1.90		MEAS	1	Imported Channel 1	UNSP	other		3060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	107	1981-07-14		Yes	MRJ	USGS	11.29	114				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		114				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	108	1981-08-26		Yes	MRJ	USGS	11.24	166				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		166				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	109	1981-12-03		Yes	DLB	USGS	11.66	303				Fair	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		303				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	110	1982-01-27		Yes	DLB	USGS	11.46	255				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		255				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	111	1982-03-23		Yes	DLB	USGS	11.56	360				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		360				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	112	1982-04-14		Yes	DLB	USGS	11.27	219				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		219				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	113	1982-05-17		Yes	RWC/RLT	USGS	21.64	50300				Fair	0.59	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	50300	920	8980	5.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	114	1982-06-10		Yes	DLB	USGS	12.16	1220				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		1220				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	115	1982-07-23		Yes	RWC	USGS	11.16	370				Good	0.02	0.70		MEAS	1	Imported Channel 1	UNSP	other		370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	116	1982-09-21		Yes	RWC	USGS	10.67	103				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	103				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	117	1982-10-20		Yes	LDM	USGS	10.50	63.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	63.5	136	85.0	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	118	1982-12-14		Yes	LDM	USGS	10.81	106				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	106	105	101	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	119	1983-01-25		Yes	LDM	USGS	11.01	140				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	130	137	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	120	1983-03-09		Yes	LDM	USGS	11.99	731				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	731	205	1010	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	121	1983-04-13		Yes	LDM	USGS	12.31	763				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	763	219	1080	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	122	1983-05-14		Yes	TEC/SP	USGS	18.61	24300				Unspecified	0.24	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	24300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	123	1983-06-22		Yes	LDM	USGS	11.83	734				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	734	270	1740	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	124	1983-08-03		Yes	LDM	USGS	10.56	81.3				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	81.3	147	112	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	125	1983-09-14		Yes	LDM	USGS	11.85	907				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	907	275	1420	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	126	1983-10-27		Yes	LDM	USGS	11.35	318				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	318	151	262	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	127	1983-12-07		Yes	LDM	USGS	10.92	221				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	221	137	199	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	128	1984-02-29		Yes	LDM	USGS	11.39	259				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	259	144	240	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	129	1984-04-10		Yes	LDM	USGS	15.10	4810				Good	-0.14	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4810	537	2690	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07159100	130	1984-05-22		Yes	LDM	USGS	11.46	486				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	486	267	440	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
