#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:19:47 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07207000 CIMARRON RIVER NEAR CIMARRON, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07207000	359	1965-05-23		Yes	Lucero	USGS	4.88	1160				UNSP			UNSP	MEAS	1		UNSP	QSCMM		1160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	362	1965-06-17		Yes	Tribble	USGS	12.42	15500				UNSP			UNSP	MEAS	1		UNSP	QSCMM		15500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	361	1965-06-17		Yes	Tribble	USGS	4.10	791				FAIR			UNSP	MEAS	1		UNSP	QSCMM		791	45.0	105	7.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	363	1965-06-19		Yes	Tribble	USGS	1.92	124				GOOD			UNSP	MEAS	1		UNSP	QSCMM		124	31.0	40.7	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	381	1966-06-01		Yes	Reynolds	USGS	2.05	100				GOOD			UNSP	MEAS	1		UNSP	QSCMM		100	28.0	35.9	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	457	1969-10-01		Yes	REY	USGS	0.85	8.20	15.0	-1.00	0.500	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			8.20				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	458	1969-10-15		Yes	REY	USGS	1.15	14.8	15.0	-0.030	-2.00	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			14.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	459	1969-11-03		Yes	REY	USGS	1.00	10.2	15.0	-0.040	-3.80	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			10.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	460	1969-11-19		Yes	REY	USGS	1.24	3.93	15.0	-0.690		FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			3.93				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	461	1969-12-09		Yes	REY	USGS	0.94	5.18	15.0	-0.290		UNSP	0.01	0.33		MEAS	1	Unspecified	UNSP			5.18				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	462	1969-12-19		Yes	REY	USGS	1.60	6.96	15.0	-0.830		UNSP	0.03	0.33		MEAS	1	Unspecified	UNSP			6.96				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	463	1970-01-06		Yes	REY	USGS	1.47	4.65	15.0	-0.860		UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			4.65				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	464	1970-01-20		Yes	REY	USGS	0.63	4.99	15.0	0.010	-1.20	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			4.99				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	465	1970-02-04		Yes	REY	USGS	0.67	5.82	15.0	0.010	4.50	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			5.82				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	466	1970-02-18		Yes	REY	USGS	0.65	4.94	15.0	-0.010	-2.20	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			4.94				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	467	1970-03-05		Yes	REY	USGS	0.64	4.50	15.0	-0.030	-3.80	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			4.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	468	1970-03-19		Yes	REY	USGS	1.16	15.8	15.0	-0.020	-0.600	UNSP	-0.02	0.40		MEAS	1	Unspecified	UNSP			15.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	469	1970-04-08		Yes	REY	USGS	1.35	25.6	15.0	-0.020	1.60	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			25.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	470	1970-04-22		Yes	REY	USGS	1.35	25.5	15.0	-0.010	-1.50	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			25.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	471	1970-05-06		Yes	REY	USGS	1.64	50.4	15.0	-0.010	3.30	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			50.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	472	1970-05-22		Yes	REY	USGS	1.76	62.7	15.0	-0.010	2.50	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			62.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	473	1970-06-12		Yes	REY	USGS	1.55	41.3	15.0	-0.020	3.50	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			41.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	474	1970-06-25		Yes	MCC	USGS	1.66	46.9	15.0	-0.030	-3.90	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			46.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	475	1970-07-09		Yes	REY	USGS	1.54	42.0	15.0	0.010	1.00	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			42.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	476	1970-07-21		Yes	REY	USGS	1.67	52.5	15.0	0.010	-2.10	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			52.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	477	1970-08-05		Yes	REY	USGS	1.55	42.3	15.0	0.010	-0.500	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			42.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	478	1970-08-20		Yes	REY	USGS	1.52	40.6	15.0	0.010	1.80	UNSP	0.00	0.50		MEAS	1	Unspecified	UNSP			40.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	479	1970-09-09		Yes	REY	USGS	1.36	27.8	15.0	0.00	1.80	UNSP	0.00	0.40		MEAS	1	Unspecified	UNSP			27.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07207000	480	1970-10-05		Yes	REY	USGS	1.16	15.4	15.0	-0.020	-3.10	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			15.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
