#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:20:27 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04160900 CLINTON RIVER NEAR DRAYTON PLAINS, MI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04160900	183	1974-03-12		Yes	CRW	USGS	4.90	268.0	 7.0	0.00	0.00	GOOD				MEAS	1	Unspecified	CRAN	QUNSP		268.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	185	1974-05-21		Yes	rll	USGS	4.54	221.0	 7.0	0.00	2.30	GOOD				MEAS	1	Unspecified	CRAN	QUNSP		221.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	195	1975-04-28		Yes	CRW	USGS	4.43	195.0	 7.0	0.00	-3.90	GOOD			CLER	MEAS	1	Unspecified	CRAN	QUNSP		195.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	204	1976-03-19		Yes	CRW	USGS	4.33	177.0	 8.0	0.00	-1.70	GOOD			CLER	MEAS	1	Unspecified	CRAN	QUNSP		177.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	262	1981-10-06		Yes	CRW	USGS	4.47	191.0	 9.0	2.10		FAIR			CLER	MEAS	1	Unspecified	CRAN	QUNSP		191.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	298	1985-09-25		Yes	DVE	USGS	2.61	41.0	 9.0	-0.100	-16.0	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		41.0	29.0	27.6	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	299	1985-11-05		Yes	DVE	USGS	3.60	88.6	 9.0	-0.460	-28.0	GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		88.6	35.0	54.6	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	300	1985-12-20		Yes	DVE	USGS	3.60	94.6	 9.0	0.00	-23.1	GOOD	-0.01	0.40	SICE	MEAS	1	Unspecified	WADE	QUNSP		94.6	36.0	56.5	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	04160900	301	1986-01-29		Yes	DVE/GL	USGS	3.17	73.1	 9.0	-0.230	-19.6	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		73.1	34.0	43.3	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
