#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:20:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08119500 Colorado Rv at Hwy 350 nr Ira, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08119500	323	1978-06-17 13:00:00	CDT	Yes	EP	USGS	2.50	13.1				GOOD				MEAS	1		WADE	QSCMM	VADV	13.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	335	1980-05-15 18:25:00	CDT	Yes	EP	USGS	22.66	7410				GOOD				MEAS	1		BRUS	QSCMM		7410				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	336	1980-05-16 09:40:00	CDT	Yes	EP	USGS	9.07	622				POOR				MEAS	1		BRUS	QSCMM		622				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	344	1981-04-23 09:35:00	CST	Yes	EP	USGS	2.86	39.7				GOOD	-0.02	0.33		MEAS	1		WADE	QSCMM		39.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	352	1982-05-19 12:22:30	CDT	Yes	EP	USGS	4.14	131				GOOD	-0.11	0.25		MEAS	1		WADE	QSCMM		131				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	353	1982-05-26 12:07:30	CDT	Yes	EP/C	USGS	4.84	170				GOOD	-0.14	0.42		MEAS	1		WADE	QSCMM		170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	370	1984-10-23 15:45:00	CDT	Yes	JP	USGS	2.77	10.3				FAIR	-0.02	0.33		MEAS	1		WADE	QSCMM	VPYG	10.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	375	1985-04-29 13:47:30	CDT	Yes	C/M	USGS	8.33	449				FAIR	-0.43	0.58		MEAS	1		BRUS	QSCMM	VPAA	449				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	376	1985-04-29 15:15:00	CDT	Yes	C/M	USGS	7.30	301				FAIR	-0.39	0.50		MEAS	1		BRUS	QSCMM		301				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	377	1985-04-30 12:30:00	CDT	Yes	L/M	USGS	3.30	29.6				FAIR	0.00	0.25		MEAS	1		WADE	QSCMM	VPAA	29.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	378	1985-05-14 12:55:00	CDT	Yes	JP	USGS	3.63	40.9				FAIR	-0.02	0.33		MEAS	1		WADE	QSCMM		40.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	386	1986-09-09 15:17:30	CDT	Yes	JP	USGS	2.82	4.86				POOR	0.00	0.25		MEAS	1		WADE	QSCMM	VPYG	4.86				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	390	1987-02-10 17:17:30	CST	Yes	JP	USGS	2.71	3.49				POOR	0.00	0.25		MEAS	1		WADE	QSCMM	VPYG	3.49				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	392	1987-06-01 16:00:00	CDT	Yes	L/JP	USGS	3.58	20.6				GOOD	0.00	0.33		MEAS	1		WADE	QSCMM	VPYG	20.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	395	1987-10-05 17:05:00	CDT	Yes	JGP/JGP	USGS	2.54	0.160	 8.0	-0.430		POOR	0.00	0.18	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.160	3.50	0.450	0.360	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	396	1987-11-16 16:50:00	CST	Yes	JGP/JGP	USGS	2.63	0.570	 8.0	-0.440	6.00	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.570	5.50	1.03	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08119500	397	1988-01-19 15:30:00	CST	Yes	JGP/JGP	USGS	2.68	1.18	 8.0	-0.410	-5.00	FAIR	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		1.18	5.00	1.25	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
