#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:20:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08124000 Colorado Rv at Robert Lee, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08124000	288	1953-08-19		Yes	RVG/IDY	USGS	18.52	19200		0.00		FAIR	-0.94			MEAS	1	Unspecified	UNSP			19200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	313	1954-05-12		Yes	WRC/GHH	USGS	15.67	13900		0.00		GOOD	0.06			MEAS	1	Unspecified	UNSP			13900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	314	1954-05-13		Yes	WRC	USGS	7.84	3870		0.00		GOOD	-0.22			MEAS	1	Unspecified	UNSP			3870				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	315	1954-05-13		Yes	HWA	USGS	7.08	3080		0.00		GOOD	-0.08			MEAS	1	Unspecified	UNSP			3080				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	342	1955-05-10		Yes	WRC/GHH	USGS	9.88	6460		0.00		GOOD	-0.60			MEAS	1	Unspecified	UNSP			6460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	343	1955-05-13		Yes	WRC/BUC	USGS	4.74	1240		0.00		GOOD	-0.10			MEAS	1	Unspecified	UNSP			1240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	555	1987-10-07 15:20:00	CDT	Yes	JGP/JGP	USGS	1.49	0.880	 4.0	0.110	1.00	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.880	5.60	2.20	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	556	1987-11-18 13:55:00	CST	Yes	JGP/JGP	USGS	1.50	0.860	 4.0	0.100	-1.00	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.860	5.10	1.72	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	557	1988-01-21 12:30:00	CST	Yes	JGP/JGP	USGS	1.55	0.870	 4.0	0.050	0.00	FAIR	0.00	0.28	MDDB	MEAS	1	Unspecified	WADE	QUNSP		0.870	5.20	1.77	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	558	1988-03-07 13:25:00	CST	Yes	JGP	USGS	1.35	0.480	 4.0	0.200	-2.00	FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		0.480	5.30	1.21	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	559	1988-04-27 13:30:00	CDT	Yes	JBS	USGS	1.24	0.230	 4.0	0.270	0.00	FAIR	0.00	0.17	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.230	2.40	0.240	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	560	1988-06-13 09:45:00	CDT	Yes	JBS	USGS	1.26	0.080	 4.0	0.200	0.00	FAIR	0.00	0.20	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.080	1.50	0.160	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	561	1988-07-27 10:55:00	CDT	Yes	JBS	USGS	6.03	652.0	 4.0	0.210	-5.00	FAIR	0.00	1.00	SUBM	MEAS	1	Unspecified	BRUS	QUNSP		652.0	102	411	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	562	1988-07-28 09:20:00	CDT	Yes	JGP/WHM	USGS	6.02	585.0	 4.0	0.210	5.00	FAIR	0.00	1.20	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		585.0	85.0	366	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	563	1988-08-11 10:35:00	CDT	Yes	JBS	USGS	5.80	575.0	 4.0	0.250	4.00	FAIR	0.00	0.80	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		575.0	100	404	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	564	1988-09-01 09:55:00	CDT	Yes	JBS	USGS	1.77	2.32	 4.0	-0.050	3.00	GOOD	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.32	7.70	2.15	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	565	1988-10-06 12:20:00	CDT	Yes	JBS	USGS	1.69	0.350	 4.0	-0.160	-2.00	FAIR	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		0.350	3.00	0.860	0.410	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08124000	566	1988-11-23 12:25:00	CST	Yes	JBS	USGS	1.69	0.290	 4.0	-0.170	0.00	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.290	4.20	1.44	0.190	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
