#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:20:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08138000 Colorado Rv at Winchell, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08138000	1	1930-10-15		Yes	CAY	USGS	43.60	53700		0.00		UNSP	-0.94	1.60		MEAS	1	Unspecified	CRAN	QUNSP		53700	342	10100	5.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	172	1948-07-09		Yes	Dod/Yos	USGS	38.19	40700		0.00		GOOD	-0.44	1.40		MEAS	1	Unspecified	CRAN	QUNSP		40700	403	8760	4.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	259	1955-05-19		Yes	Par/Mon	USGS	45.43	58700		0.00		GOOD	-0.40			MEAS	1	Unspecified	CRAN	QUNSP		58700	436	12200	4.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	295	1957-10-15		Yes	Buc/Hug	USGS	41.78	51000		0.00		GOOD	0.48			MEAS	1	Unspecified	CRAN	QUNSP		51000	433	10300	4.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	296	1957-10-15		Yes	Buc/Hug	USGS	44.16	58200		0.00		GOOD	0.23			MEAS	1	Unspecified	CRAN	QUNSP		58200	435	11100	5.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	323	1959-10-05		Yes	Car/Hug	USGS	42.18	50500		0.00		GOOD	0.52			MEAS	1	Unspecified	CRAN	QUNSP		50500	421	10500	4.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	390	1965-05-14		Yes	Gro	USGS	24.11	17800		0.00		GOOD	-0.07			MEAS	1	Unspecified	CRAN	QUNSP		17800	268	3830	4.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	476	1973-10-13		Yes	HJJ/Dan	USGS	17.20	10000		0.00		GOOD	-0.70			MEAS	1	Unspecified	CRAN	QUNSP		10000	162	2270	4.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	486	1974-10-30		Yes	HJJ/McC	USGS	10.19	3920		0.00		GOOD	-0.21			MEAS	1	Unspecified	CRAN	QUNSP		3920	120	1190	3.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08138000	517	1978-05-08		Yes	JGP/Spi	USGS	8.08	2430		0.00		FAIR	-0.18			MEAS	1	Unspecified	CRAN	QUNSP		2430	110	898	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
