#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:20:53 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08158000 Colorado Rv at Austin, TX
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08158000	1A	1897-12-21		Yes	TUT	USGS	1.80	290.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		290.0		158	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	2A	1897-12-22		Yes	TUT	USGS	1.95	355.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		355.0		156	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	3A	1897-12-23		Yes	TUT	USGS	2.00	392.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		392.0		194	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	4A	1897-12-24		Yes	TUT	USGS	2.05	408.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		408.0		195	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	5A	1897-12-25		Yes	TUT	USGS	1.70	275.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		275.0		138	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	6A	1897-12-28		Yes	TUT	USGS	1.70	278.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		278.0		157	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	7A	1898-01-05		Yes	TUT	USGS		226.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		226.0		103	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	8A	1898-01-06		Yes	TUT	USGS		230.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		230.0		101	2.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	9A	1898-01-07		Yes	TUT	USGS		233.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		233.0		103	0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	10A	1898-01-13		Yes	TUT	USGS		234.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		234.0		105	2.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08158000	11A	1898-01-22		Yes	TUT	USGS	1.80	297.0		0.00		UNSP				MEAS	1	Unspecified	WADE	QUNSP		297.0		156	1.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
