#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09015000 COLORADO RIVER BL SHADOW MOUNTAIN RESERVOIR, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09015000	1	2014-09-25 10:25:00	MDT	Yes	KCD/MJN	USGS	1.60	44.6	 2.0	0.00	0.5	GOOD	0.00	0.63	MALT	MEAS	1		WADE	QSCMM	VADV	44.6	93.5	85.3	0.52	FIRM	BLDR	EVEN	STDY	EVEN	STND	UPST	30.00
USGS	09015000	2	2014-10-02 16:18:00	MDT	Yes	BRG	USGS	2.38	250	 2.0	0.00	0.0	FAIR	0.00	1.08	CLER	MEAS	1		WADE	QSCMM	VADV	250	102	156	1.60	FIRM	BLDR	UNSP	PULS	UNEV	NSTD	UPST	30.00
USGS	09015000	3	2014-11-21 14:50:00	MST	Yes	AST	USGS	1.63	49.6	 2.0	0.00	0.8	FAIR	0.00	0.80	CLER	MEAS	1		WADE	QSCMM	VADV	49.6	97.0	80.1	0.62	SOFT	BLDR	UNSP	STDY	EVEN	UNKN	UPST	20.00
USGS	09015000	4	2015-01-23 12:19:30	MST	Yes	gmp	USGS	1.55	32.2	 2.0	-0.02	-6.4	FAIR	0.00	1.00	MAHV	MEAS	1	main	WADE	QSCMM	VADV	32.2	76.5	91.5	0.35	FIRM	CBLS	UNEV	STDY	UNEV	UNKN	UPST	50.00
USGS	09015000	5	2015-03-26 15:44:00	MDT	Yes	AST	USGS	1.54	38.8	 2.0	0.01	4.6	FAIR	0.00	0.50	MALT	MEAS	1	main	WADE	QSCMM	VADV	38.8	107	80.7	0.48	FIRM	CBLS	EVEN	STDY	EVEN	UNKN	UPST	15.00
USGS	09015000	6	2015-04-09 17:02:53	MDT	Yes	BRG	USGS	2.34	237	 2.0	0.01	-0.8	FAIR	0.00	0.25	MALT	MEAS	1	main	CWAY	QADCP	VADCP	237	108	163	1.46	FIRM	CBLS	UNEV	STDY	EVEN	STND	UPST	25.00
USGS	09015000	7	2015-05-19 13:16:02	MDT	Yes	BRG	USGS	2.83	441	 2.0	0.01	-2.9	FAIR	0.01	0.50	CLER	MEAS	1	main	CWAY	QADCP	VADCP	441	106	208	2.12	FIRM	CBLS	UNEV	PULS	EVEN	UNFM	UPST	30.00
USGS	09015000	8	2015-06-02 10:03:30	MDT	Yes	BRG	USGS	4.02	1340	 2.0	0.00	5.5	FAIR	0.00	0.50	CLER	MEAS	1	main	CWAY	QSCMM	VADCP	1340	115	336	4.00	FIRM	CBLS	UNEV	PULS	UNEV	STND	UPST	20.00
USGS	09015000	9	2015-06-05 07:57:30	MDT	Yes	AST	USGS	4.68	1810	 2.0	0.00	-5.2	FAIR	0.03	0.85	SUBM	MEAS	1	MAIN	CWAY	QSCMM	VADCP	1810	118	406	4.45	SOFT	CBLS	UNEV	PULS	EVEN	UNKN	UPST	20.00
