#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09034250 COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09034250	24	1983-06-13		Yes	GBO/CC	USGS	5.30	2160		0.00		UNSP				UNSP	1	Unspecified	UNSP			2160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	25	1983-06-29		Yes	RLR/GG	USGS	5.99	3000		0.00		UNSP				UNSP	1	Unspecified	UNSP			3000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	26	1983-07-13		Yes	RLR/CC	USGS	6.59	3780		0.00		UNSP				UNSP	1	Unspecified	UNSP			3780				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	36	1984-05-23		Yes	RLR	USGS	6.40	3720		0.00		UNSP				UNSP	1	Unspecified	UNSP			3720				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	37	1984-06-01		Yes	GBO/RLR	USGS	6.89	4740		0.00		UNSP				UNSP	1	Unspecified	UNSP			4740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	38	1984-06-21		Yes	RLR	USGS	5.89	2980		0.00		UNSP				UNSP	1	Unspecified	UNSP			2980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	41	1984-08-21		Yes	R R	USGS	3.12	326.0	 2.0	-0.180	2.00	FAIR	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		326.0	130	187	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	42	1984-10-04		Yes	R R	USGS	2.97	145.0	 3.0	-0.020	2.00	FAIR	0.00	0.50	MDDB	MEAS	1	Unspecified	WADE	QUNSP		145.0	105	91.7	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	43	1984-11-09		Yes	R R	USGS	2.80	79.9	 3.0	-0.040	-4.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		79.9	104	67.0	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	44	1984-12-18		Yes	R R	USGS	3.75	127.0	 3.0			FAIR	0.04	2.00	CICE	MEAS	1	Unspecified	WADE	QUNSP		127.0	49.0	55.9	2.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	45	1985-03-12		Yes	R R	USGS	4.30	85.5	 3.0			FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		85.5	48.5	49.7	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	46	1985-04-17		Yes	R R/GBO	USGS	3.45	395.0	 3.0	0.00	-2.00	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		395.0	121	210	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	47	1985-05-22		Yes	RR	USGS	4.03	854.0	 3.0	0.00		GOOD	0.00	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		854.0	150	250	3.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	48	1985-06-12		Yes	R R	USGS	4.52	1510	 3.0	0.180		FAIR	-0.06	1.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		1510	87.0	464	3.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	49	1985-07-10		Yes	RR	USGS	2.78	87.2	 3.0	0.00		FAIR	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		87.2	11.5	124	0.700	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	50	1985-08-06		Yes	RR	USGS	3.02	174.0	 3.0	0.010		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		174.0	117	156	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	51	1985-09-11		Yes	RR	USGS	2.75	82.2	 3.0	0.010		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		82.2	116	126	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09034250	52	1985-10-02		Yes	RR	USGS	2.83	104.0	 3.0	0.010	-2.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		104.0	114	131	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
