#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:14 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09085100 COLORADO RIVER BELOW GLENWOOD SPRINGS, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09085100	222	1984-09-17		Yes	RAJ	USGS	4.88	3710	 6.0	0.00		GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3710	292	819	4.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	223	1984-10-04		Yes	RAJ	USGS	4.53	2940	 6.0	0.00		FAIR	0.06	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2940	292	728	4.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	224	1984-11-30		Yes	RAJ	USGS	4.39	2590	 6.0	0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2590	290	673	3.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	225	1985-01-24		Yes	RAJ	USGS	3.98	2050	 6.0	0.00		GOOD	-0.01	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2050	245	587	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	226	1985-03-07		Yes	RAJ	USGS	3.98	2050	 6.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2050	235	567	3.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	227	1985-04-25		Yes	RAJ	USGS	5.62	5140	 6.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5140	296	1020	5.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	228	1985-05-20		Yes	RAJ	USGS	7.28	10200	 6.0	0.00		GOOD	-0.05	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		10200	303	1480	6.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	229	1985-06-14		Yes	RAJ	USGS	9.00	16600	 6.0	0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		16600	312	1920	8.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	230	1985-07-19		Yes	RAJ	USGS	5.83	5890	 7.0	0.00		GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5890	298	1070	5.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	231	1985-08-23		Yes	RAJ	USGS	4.41	2760	 7.0	0.00		FAIR	0.06	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2760	291	678	4.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	232	1985-09-20		Yes	RAJ	USGS	4.18	2450	 7.0	0.00	5.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2450	245	630	3.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	233	1985-10-24		Yes	RAJ	USGS	4.40	2710	 7.0	0.00	0.00	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2710	246	645	4.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	234	1985-12-19		Yes	RAJ	USGS	4.01	2160	 7.0	0.00		GOOD	-0.02	1.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2160	241	590	3.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	235	1986-01-16		Yes	RAJ	USGS	4.03	2200	 7.0	0.00		FAIR	0.22	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2200	245	591	3.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09085100	236	1986-03-19		Yes	MEW	USGS	4.20	2490	 7.0	0.00		GOOD	-0.01	1.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2490	245	653	3.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
