#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09163500 COLORADO RIVER NEAR COLORADO-UTAH STATE LINE
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09163500	401	1983-06-25		Yes	RGK/DLC	USGS	13.10	48800		0.00		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		48800	582	5930	8.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	402	1983-06-28		Yes	RGK/CEL	USGS	14.30	57600		0.00		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		57600	595	6810	8.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	414	1984-05-15		Yes	CEL	USGS	11.78	40200		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		40200	470	4930	8.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	415	1984-05-27		Yes	CEL/??R	USGS	16.04	68000		0.00		GOOD	-0.05	2.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		68000	1080	8710	7.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	420	1984-09-07		Yes	CEL	USGS	3.52	6980	11.0	0.00		GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	CWAY	QUNSP		6980	395	1140	6.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	421	1984-10-03		Yes	CEL	USGS	3.16	5920	11.0	0.00		GOOD	-0.04	1.25	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5920	394	1290	4.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	422	1984-11-07		Yes	CEL/MK	USGS	3.36	6650	11.0	0.00		GOOD	0.03	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		6650	393	1380	5.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	423	1984-12-04		Yes	CEL	USGS	3.12	5690	11.0	0.00		GOOD	0.01	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5690	391	1260	4.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09163500	424	1985-01-07		Yes	CEL	USGS	3.16	5970	11.0	0.00		GOOD	0.03	1.25	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5970	395	1300	4.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
