#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09180500 COLORADO RIVER NEAR CISCO, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09180500	2257	1979-05-29 09:40:00	MDT	Yes	JRT	USGS	14.15	43100				UNSP				MEAS	1		UNSP			43100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2276	1980-09-15		Yes	GAB	USGS	2.64	4190	 8.0	-0.150	0.200	GOOD	-0.01	1.00		MEAS	1	Unspecified	CWAY	QUNSP		4190	430	1560	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2277	1980-10-21		Yes	MGH/JCM	USGS	2.72	4250	 7.0	-0.100	0.200	GOOD	0.00	1.00		MEAS	1	Unspecified	CWAY	QUNSP		4250	427	1500	2.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2278	1980-11-17		Yes	MGH/JCM	USGS	2.82	4230	 7.0	-0.100	-4.70	FAIR	-0.01	1.00		MEAS	1	Unspecified	CWAY	QUNSP		4230	432	1590	2.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2279	1980-12-15		Yes	MGH/JRT	USGS	2.54	3750	 7.0	-0.100	-3.40	GOOD	0.02	1.00		MEAS	1	Unspecified	CWAY	QUNSP		3750	428	1440	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2280	1981-01-26		Yes	MGH	USGS	2.36	3500	 7.0	-0.100	-0.800	GOOD	0.00	1.00		MEAS	1	Unspecified	CWAY	QUNSP		3500	420	1400	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2281	1981-02-23		Yes	MGH/JRT	USGS	2.02	2980	 7.0	-0.100	2.40	GOOD	-0.02	1.00		MEAS	1	Unspecified	CWAY	QUNSP		2980	420	1260	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2282	1981-03-23		Yes	MGH/JCM	USGS	1.69	2410	 7.0	-0.100	2.60	GOOD	0.00	0.66		MEAS	1	Unspecified	CWAY	QUNSP		2410	420	1160	2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2283	1981-04-27		Yes	JCM/JRT	USGS	2.49	3770	 7.0	-0.100	-0.300	GOOD	0.02	1.25	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3770	429	1500	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2284A	1981-05-27		Yes	MGH/JRT	USGS	2.31	3880	 7.0	0.030	5.10	POOR	0.02	0.83	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3880	420	1380	2.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2284	1981-05-27		Yes	MGH/JRT	USGS	2.29	3840	 7.0	0.030	5.20	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3840	415	1380	2.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2285	1981-06-22		Yes	JCM/JRT	USGS	2.23	3330	 7.0	-0.070	-0.300	GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3330	430	1360	2.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2286	1981-07-27		Yes	GAB/JRT	USGS	1.67	2470	 7.0	-0.070	4.20	GOOD	0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2470	420	1130	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2287	1981-08-24		Yes	JCM/JRT	USGS	1.39	1910	 7.0	-0.070	-1.50	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1910	419	1030	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2288	1981-09-24		Yes	JCM/JRT	USGS	1.86	2690	 7.0	-0.070	0.400	GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2690	425	1170	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2289	1981-10-28		Yes	JCM/JRT	USGS	2.46	3750	 7.0	-0.070	-0.800	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3750	425	1440	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2290	1981-11-25		Yes	GAB/JCM	USGS	2.19	3260	 7.0	-0.070	-0.300	FAIR	0.00	0.66	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3260	425	1340	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180500	2291	1981-12-28		Yes	JCM/JRT	USGS	2.14	3400	 7.0	-0.070	6.90	POOR	0.00	1.00	SICE	MEAS	1	Unspecified	CWAY	QUNSP		3400	425	1380	2.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
