#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:21:43 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09402500 COLORADO RIVER NEAR GRAND CANYON, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09402500	911	1982-10-13		Yes	DJB/MIW	USGS	10.84	14400	10.0	0.300		GOOD	0.38	2.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		14400	293	4310	3.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	912	1983-02-14		Yes	DJB/MIW	USGS	8.04	9060	10.0	0.300		GOOD	0.18	1.75	CLER	MEAS	1	Unspecified	CWAY	QUNSP		9060	296	3720	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	913	1983-06-08		Yes	DJB/FCB	USGS	19.43	48700	10.0	0.800		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		48700	300	6800	7.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	914	1983-06-16		Yes	DJB/RBG	USGS	21.41	57600	10.0	0.800		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		57600	300	7650	7.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	915	1983-06-17		Yes	DJB/RBG	USGS	21.03	59700	10.0	1.20		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		59700	300	7590	7.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	916	1983-06-18		Yes	DJB/RBG	USGS	20.90	62300	10.0	1.80		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		62300	300	7890	7.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	917	1983-06-24		Yes	DJB/RBG	USGS	22.05	70000	10.0	1.80		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		70000	300	8930	7.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	918	1983-06-25		Yes	DJB/RBG	USGS	21.94	71500	10.0	1.80		UNSP			CLER	MEAS	1	Unspecified	CWAY	QUNSP		71500	300	8990	7.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	919	1983-06-30		Yes	S W/SCJ	USGS	24.65	83700	10.0	1.80		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		83700	313	9690	8.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	920	1983-07-02		Yes	J G/SCJ	USGS	24.54	83800	10.0	1.80		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		83800	308	9700	8.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	921	1983-07-07		Yes	J G/S W	USGS	22.87	71300	10.0	1.60		UNSP			CLER	MEAS	1	Unspecified	CWAY	QUNSP		71300	305	8920	7.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	922	1983-07-09		Yes	J G/W L	USGS	19.40	52600	10.0	1.60		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		52600	300	8140	6.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	923	1983-07-11		Yes	D S/SEB	USGS	19.40	52100	10.0	1.60		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		52100	300	7850	6.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	924	1983-07-13		Yes	D S/W L	USGS	20.03	57000	10.0	1.60		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		57000	300	8380	6.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	925	1983-07-14		Yes	D S/W L	USGS	19.98	56200	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		56200	300	8200	6.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	926	1983-07-17		Yes	D S/W L	USGS	20.12	54800	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		54800	300	8230	6.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	927	1983-07-19		Yes	D S/W L	USGS	18.92	49700	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		49700	300	7900	6.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	928	1983-07-21		Yes	K M/M L	USGS	16.85	39300	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		39300	302	7440	5.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	929	1983-07-23		Yes	K M/M L	USGS	16.86	39100	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		39100	300	7380	5.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	930	1983-07-25		Yes	K M/M L	USGS	16.55	36600	10.0	1.40		GOOD	-1.00	1.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		36600	299	7240	5.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	931	1983-07-27		Yes	K M/M L	USGS	17.46	42600	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		42600	301	7410	5.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	932	1983-07-29		Yes	K M/M L	USGS	17.16	41300	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		41300	301	7500	5.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	933	1983-08-03		Yes	J W/T F	USGS	15.91	34600	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		34600	300	6960	4.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	934	1983-08-07		Yes	T F/J W	USGS	16.08	36900	10.0	1.40		GOOD			CLER	MEAS	1	Unspecified	CWAY	QUNSP		36900	300	6930	5.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	935	1983-08-10		Yes	J R/HHH	USGS	16.04	36000	10.0	1.40		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		36000	300	6960	5.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	936	1983-08-12		Yes	HHH/J R	USGS	13.54	25100	10.0	1.40		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		25100	300	6000	4.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	937	1983-08-14		Yes	HHH/J R	USGS	13.38	24700	10.0	1.40		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		24700	295	5890	4.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	938	1983-08-16		Yes	HHH/J R	USGS	13.36	23900	10.0	1.40		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		23900	298	5960	4.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	939	1983-08-18		Yes	HHH/J R	USGS	13.49	25200	10.0	1.40		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		25200	300	5960	4.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09402500	940	1983-08-20		Yes	J G/S W	USGS	13.50	27500	10.0	1.70		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		27500	301	6460	4.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
