#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:22:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14246900 COLUMBIA RIVER @ BEAVER ARMY TERMINAL NR QUINCY,OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14246900	1	1990-11-20 08:45:00	PST	Yes	JEP/KKL	USGS	2.10	332000				Fair				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	332000	1950	106000	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	2	1991-03-13 14:07:00	PST	Yes	JEP/GWO	USGS	5.23	255000				Fair				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	255000	2100	113000	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	3	1991-05-15 10:15:00	PDT	Yes	JEP/MEH	USGS	2.00	302000				Good				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	302000	1960	105000	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	4	1991-05-29 09:20:00	PDT	Yes	MEH/GWO	USGS	3.30	434000				Good				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	434000	2000	109000	3.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	5	1991-06-06 10:11:00	PDT	Yes	TAH/JKP	USGS	3.95	308000				Fair				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	308000	2100	111000	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	6	1991-06-19 10:45:00	PDT	Yes	GWO/KAK	USGS	3.75	313000				Good				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	313000	1900	110000	2.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	7	1991-06-26 11:08:00	PDT	Yes	JKP/VMD	USGS	0.47	360000				Fair				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	360000	1960	108000	3.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	8	1991-07-26 09:15:00	PDT	Yes	JEP/KKL	USGS	0.36	379000				Good				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	379000	1920	106000	3.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14246900	9	1991-07-26 10:25:00	PDT	Yes	KKL/JEP	USGS	-0.21	324000				Good				MEAS	1	Imported Channel 1	BOAT	unspe	unkno	324000	1900	105000	3.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
