#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:22:31 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01129200 CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01129200	15	1957-11-01		Yes	---	USGS	4.23	1320				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1320				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	16	1957-11-01		Yes	---	USGS	4.23	1320				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1320				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	18	1958-01-17		Yes	---	USGS	4.52	1630				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	39	1959-11-25		Yes	---	USGS	4.52	1540				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	40	1960-01-12		Yes	---	USGS	4.54	1550				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1550				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	48	1960-11-17		Yes	---	USGS	4.36	1410				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1410				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	63	1963-05-05		Yes	---	USGS	4.73	1710				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	74	1964-04-16		Yes	---	USGS	4.77	1800				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	116	1969-04-17		Yes	---	USGS	4.91	1960				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1960				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	126	1971-03-10		Yes	hlw	USGS	3.86	1060				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	147	1974-04-24		Yes	mfc	USGS	5.74	2600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	190	1985-09-05		Yes	j-k	USGS	3.72	956				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		956				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	205	1989-03-22		Yes	RLP/R-B	USGS	2.17	130				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	130	98.0	187	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	206	1990-01-17		Yes	SCS/RLP	USGS	2.70	297				Poor	-0.12	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	297	115	216	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	207	1990-06-06		Yes	RLP/JK	USGS	2.72	321				Fair	-0.03	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	321	113	218	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	208	1991-03-20		Yes	RLP/JM	USGS	2.35	191				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	191	112	185	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	209	1991-03-20		Yes	RLP/JM	USGS	2.35	189				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	189	110	177	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01129200	210	1991-08-22		Yes	SCS	USGS	2.51	213				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	213	108	194	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
