#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:22:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01131500 CONNECTICUT RIVER NEAR DALTON, NH
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01131500	12	1936-03-19		Yes	vwr	USGS	24.45	44000				Unspecified	0.20	3.00	Unspecifed	UNSP	1	Imported Channel 1	UNSP	QSCMM	VPAA	44000	466	8040	5.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	45	1940-05-06		Yes	FJF	USGS	19.51	22800				Good				MEAS	1	Imported Channel 1	UNSP	other		22800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	61	1942-04-28		Yes	M	USGS	18.13	22200				Good				MEAS	1	Imported Channel 1	UNSP	other		22200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	88	1944-05-06		Yes	DJF	USGS	17.87	20000				Good				MEAS	1	Imported Channel 1	UNSP	other		20000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	97	1945-03-29		Yes	CHM	USGS	17.28	17500				Good				MEAS	1	Imported Channel 1	UNSP	other		17500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	120	1947-04-09		Yes	GAM/JHH	USGS	12.99	8070				Good				MEAS	1	Imported Channel 1	UNSP	other		8070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	121	1947-04-13		Yes	jhh/res	USGS	17.77	20300				Excellent	0.05	1.30	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	20300	443	5040	4.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	123	1947-06-04		Yes	gam	USGS	18.40	22100				Good	0.00	2.30	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	22100	437	5270	4.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	168	1951-04-12		Yes	gfd	USGS	16.30	15800				Good	-0.06	1.50	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	15800	435	4330	13.6	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	192	1953-03-29		Yes	djf/njr	USGS	19.85	26300				Good	-0.26	2.30	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	26300	454	5900	4.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	213	1955-04-20		Yes	jdl	USGS	16.46	16000				Good	0.01	1.80	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	16000	426	4380	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	236	1958-04-23		Yes	feb	USGS	20.18	29600				Fair	0.19	2.40	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	29600	465	6100	4.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	237	1958-04-26		Yes	feb/wbg	USGS	17.37	19300				Good	-0.12	1.80	Unspecifed	UNSP	1	Imported Channel 1	BRUS	QSCMM	VPAA	19300	440	4830	3.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	302	1960-04-05		Yes	CEH	USGS	7.23	3230				Good	0.00	1.00	Unspecifed	UNSP	1	Imported Channel 1	BRDS	QSCMM	VPAA	3230	86.0	508	6.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	296	1963-05-03		Yes	lfc	USGS	14.72	11800				Good	-0.13	2.30	Unspecifed	UNSP	1	Imported Channel 1	BRDS	QSCMM	VPAA	11800	423	3670	3.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	303	1964-04-16		Yes	wjm/dfg	USGS	19.07	23400				Good	0.10	1.80	Unspecifed	UNSP	1	Imported Channel 1	BRDS	QSCMM	VPAA	23400	450	5620	4.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	319	1965-04-18		Yes	WJM	USGS	12.39	7120				Good				MEAS	1	Imported Channel 1	UNSP	other		7120				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	323	1966-04-18		Yes	WJM	USGS	12.65	7210				Good				MEAS	1	Imported Channel 1	UNSP	other		7210				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	341	1968-04-17		Yes	PMD	USGS	14.30	10600				Good				MEAS	1	Imported Channel 1	UNSP	other		10600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	351	1969-05-12		Yes	GAL	USGS	15.61	13500				Good				MEAS	1	Imported Channel 1	UNSP	other		13500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	353	1969-11-16		Yes	HLW	USGS	10.95	4730				Good				MEAS	1	Imported Channel 1	UNSP	other		4730				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	427	1987-10-08		Yes	SCS	USGS	9.93	3250				Fair	0.00		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3250	410	1700	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	428	1988-04-20		Yes	JEK	USGS	11.60	5760				Good	-0.03		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5760	405	2280	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	429	1988-08-12		Yes	JEK/R-P	USGS	7.87	1150				Good	0.00		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1150	379	919	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	430	1989-03-23		Yes	RLP/R-B	USGS	7.94	905				Fair	0.00	1.50	IceShore	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	905	390	778	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	431	1990-03-18		Yes	SCS/RLP	USGS	20.52	29500				Fair	0.50	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	29500	459	6090	4.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	432	1990-06-11		Yes	RLP/JIM	USGS	11.36	5190				Good	0.08	0.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5190	404	2110	2.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	433	1990-10-03		Yes	RLP	USGS	9.23	2170				Fair	0.05	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2170	390	1120	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	434	1990-11-09		Yes	RLP	USGS	9.84	2890				Good	0.01	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2890	369	1400	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	435	1991-05-09 14:35:00	EDT	Yes	RLP	USGS	11.18	4710				Fair	-0.05	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4710	400	2020	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	436	1991-12-17 08:00:00	EST	Yes	SCS/SCS	USGS	10.34	2890				Poor	-0.46	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2890	414	1770	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	437	1992-05-27		Yes	SCS	USGS	8.22	1340				Poor	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1340	390	1010	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	438	1994-04-21 08:40:00	EDT	Yes	SCS/DK	USGS	14.49	11100				Fair	-0.05	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11100	416	3410	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	439	1995-04-26 12:20:00	EDT	Yes	RGK	USGS	9.31	2350				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2350	405	1360	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	440	1995-07-06 11:50:00	EDT	Yes	rgk	USGS	7.03	601				Poor	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	601	381	548	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	441	1995-08-29 09:00:00	EDT	Yes	RGK	USGS	6.90	452				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	452	303	343	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	442	1995-11-28 07:35:00	EST	Yes	RGK	USGS	9.74	2490				Fair	-0.01	1.10	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2490	388	1490	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	443	1995-11-30 08:40:00	EST	Yes	RGK	USGS	9.95	2680				Good	-0.04	1.10	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2680	399	1600	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	444	1996-03-27 07:50:00	EST	Yes	RGK	USGS	11.26	4230				Fair	-0.08	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4230	410	2090	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	445	1996-04-19 08:00:00	EDT	Yes	RGK	USGS	13.70	8500				Good	-0.18	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8500	414	3100	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	446	1996-04-23 06:30:00	EDT	Yes	RGK	USGS	17.80	19200				Good	0.08	1.30	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19200	432	4850	3.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	447	1996-06-19 13:35:00	EDT	Yes	RGK/MFC	USGS	9.28	2140				Good	-0.18	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2140	394	1350	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	448	1996-09-12 07:30:00	EDT	Yes	RGK	USGS	8.02	971				Fair	0.00	1.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	971	354	723	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	449	1997-05-14 15:05:00	EDT	Yes	RGK	USGS	12.61	6540				Good	-0.02	1.20	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6540	408	2610	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	450	1997-06-24 08:40:00	EDT	Yes	RGK/GS	USGS	11.86	5080				Fair	-0.09	1.30	DebrisHeavy	UNSP	1	Imported Channel 1	CRAN	unspe	unkno	5080	412	2250	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	451	1997-09-17 15:30:00	EDT	Yes	C_K	USGS	7.43	754				Good	0.24	1.30	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	754	338	568	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	452	1997-09-19 16:10:00	EDT	Yes	C_K	USGS	7.51	788				Good	0.01	1.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	788	361	713	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	453	1997-10-28 11:15:00	EST	Yes	C_K	USGS	7.76	963				Good	0.01	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	963	350	665	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	454	1997-12-11 15:15:00	EST	Yes	C_K/RLP	USGS	8.14	1200				Fair	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1200	350	765	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	455	1998-01-12 15:40:00	EST	Yes	C_K	USGS	13.02	8410				Fair	0.03	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8410	408	2820	2.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	456	1998-04-01 15:25:00	EST	Yes	C_K/SLW	USGS	23.49	43300				Fair	0.23	2.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	43300	462	7710	5.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	457	1998-06-08 15:45:00	EDT	Yes	C_K/GJS	USGS	8.96	1620				Good	0.07	1.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1620	372	1070	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01131500	458	1998-08-13 15:00:00	EDT	Yes	MFC	USGS	11.19	4650				Good	-0.11	1.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4650	410	2040	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
