#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:22:40 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01172003 CONNECTICUT RIVER BELOW POWER DAM AT HOLYOKE,MA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01172003	6	1983-04-21 11:23:00	EST	Yes	gpr/tlp	USGS	12.20	46000				Good	-0.10	2.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	46000	1110	10800	4.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	17	1984-05-31 13:35:00	EST	Yes	law/bsd	USGS	10.97	146000				Excellent	0.28	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	146000	1640	39900	4.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	27	1985-07-16		Yes	GPR	USGS	4.00	4220				Good	0.38	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4220	130	1630	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	28	1985-10-30		Yes	TMC/JMC	USGS	4.23	4120				Good	-0.15	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4120	155	1580	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	29	1986-02-25		Yes	GPR/BSD	USGS	5.49	8660				Good	-0.02	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8660	900	3000	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	30	1986-04-25		Yes	GPR/JMC	USGS	6.26	11700				Good	-0.02	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11700	793	3530	3.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	31	1986-07-17		Yes	TMC/RJC	USGS	5.69	9480				Good	0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9480	180	1900	4.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	32	1986-09-09		Yes	BSD/GPR	USGS	3.56	1950				Good	-0.46	1.30	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1950	130	1650	1.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	33	1986-10-31		Yes	BSD/JMC	USGS	3.62	2430				Good	0.02	1.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2430	155	1590	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	34	1987-02-03		Yes	BSD/GPR	USGS	4.76	6040				Good	0.00	1.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6040	135	1780	3.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	35	1987-03-17		Yes	BSD/TMC	USGS	4.49	5060				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5060	135	1740	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	36	1987-05-21		Yes	BSD/TMC	USGS	4.50	4860				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4860	130	1700	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	37	1987-06-17 11:04:00	EST	Yes	BSD/GPR	USGS	4.22	3900				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3900	125	1630	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	38	1987-08-18 10:15:00	EST	Yes	JMC/TMC	USGS	4.30	6360				Good	-0.06	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6360	185	1770	3.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	39	1987-08-31 10:35:00	EST	Yes	BSD/TMC	USGS	2.73	1740				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1740	160	1500	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	40	1987-09-09 09:58:00	EST	Yes	BSD/TMC	USGS	3.19	2870				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2870	160	1540	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	41	1987-12-22 12:00:00	EST	Yes	TMC/UFK	USGS	5.55	8960				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8960	135	1800	4.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	42	1988-03-02 12:24:00	EST	Yes	GPR/TMC	USGS	3.79	2880				Good	0.10	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2880	340	2050	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	43	1988-06-21 10:25:00	EST	Yes	BSD/HAH	USGS	3.22	2880				Excellent	0.00	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2880	120	2400	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	44	1988-08-16 10:30:00	EST	Yes	TMC	USGS	3.84	4250				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4250	100	1460	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	45	1988-09-09 10:55:00	EST	Yes	TMC/HAH	USGS	4.30	5910				Good			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5910	100	1550	3.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	46	1988-10-25 12:00:00	EST	Yes	TMC/HAH	USGS	4.79	7080				Good	0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7080	100	1610	4.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	47	1988-12-21 12:15:00	EST	Yes	HAH/TMC	USGS	4.68	7540				Good	0.19	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7540	105	1640	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	48	1989-03-22 13:10:00	EST	Yes	TMC/HAH	USGS	4.76	5700				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5700	105	1610	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	49	1989-06-26 09:00:00	EST	Yes	TMC	USGS	4.97	7830				Good	-0.12	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7830	105	1540	5.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	50	1989-07-20 10:30:00	EST	Yes	TMC	USGS	3.88	4550				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4550	105	1530	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	51	1990-07-19 11:45:00	EST	Yes	TMC	USGS	4.72	7400				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7400	100	1510	4.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	52	1990-09-11 12:42:00	EST	Yes	TMC/JM	USGS	4.02	4710				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4710	100	1420	3.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	53	1991-03-26 12:00:00	EST	Yes	GPR/TMC	USGS	7.14	16000				Good	-0.03	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	16000	765	4010	3.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	54	1991-05-29 09:30:00	EST	Yes	TMC	USGS	5.35	9470				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9470	100	1710	5.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	55	1991-07-29 08:00:00	EST	Yes	BSD	USGS	2.90	1980				Good	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1980	148	1490	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	56	1992-07-06 10:15:00	EST	Yes	tmc/twf	USGS	3.36	2500				Good	-0.03	1.00	Clear	MAIN	1	Imported Channel 1	CRAN	unspe	unkno	2500	90.0	1300	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	57	1992-08-04 09:37:00	EST	Yes	TMC	USGS	3.09	2480				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2480	84.0	1250	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01172003	58	1992-09-08 10:00:00	EST	Yes	TMC	USGS	3.03	1930				Good	0.01	1.00	Clear	MAIN	1	Imported Channel 1	CRAN	unspe	unkno	1930	90.0	1160	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
