#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:23:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14226500 COWLITZ RIVER AT PACKWOOD, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14226500	1M	1907-08-15		Yes	ADM	USGS		695				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		695				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	2M	1907-08-17		Yes	ADM	USGS		816				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		816				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	3M	1907-11-25		Yes	ADM	USGS		1910				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1910				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	4M	1910-10-17		Yes	ADM	USGS		2500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	5M	1910-11-18		Yes	ADM	USGS		1140				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1140				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	6M	1929-09-30		Yes	ADM	USGS		254				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		254				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	20	1932-10-13		Yes	FS	USGS	2.71	429				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		429				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	21	1932-10-14		Yes	FS	USGS	3.80	1460				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1460				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	22	1932-11-17		Yes	RBK	USGS	7.60	10600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		10600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	23	1932-11-30		Yes	RBK	USGS	5.00	3260				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	24	1933-04-07		Yes	RBK	USGS	3.88	1250				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	25	1933-05-05		Yes	RBK	USGS	4.30	1790				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1790				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	26	1933-06-08		Yes	RBK	USGS	6.34	5310				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		5310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	27	1933-09-14		Yes	DJFC	USGS	3.58	795				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		795				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	28	1933-12-07		Yes	FS	USGS	5.24	3590				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	29	1933-12-09		Yes	FS	USGS	8.24	12600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		12600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	30	1934-01-11		Yes	GMT	USGS	3.83	1910				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1910				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	82	1941-09-26		Yes	WHR	USGS	3.98	517				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		517				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	84	1941-10-23		Yes	GWC	USGS	3.96	786				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		786				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	85	1941-11-14		Yes	PCB	USGS	6.85	4620				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4620				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	86	1942-01-10		Yes	HCR	USGS	4.00	740				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		740				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	87	1942-02-12		Yes	FVB	USGS	4.26	950				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		950				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	88	1942-03-26		Yes	JGD	USGS	3.64	538				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		538				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	89	1942-05-21		Yes	FVB	USGS	6.41	3660				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	90	1942-07-16		Yes	DJFC	USGS	5.17	1720				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	91	1942-09-05		Yes	WHR	USGS	3.69	577				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		577				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	92	1942-10-22		Yes	HCR	USGS	3.19	311				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		311				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	93	1942-11-24		Yes	JRT	USGS	7.90	7530				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		7530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	94	1942-12-10		Yes	WH	USGS	5.00	1470				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1470				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	95	1943-02-04		Yes	FWK	USGS	4.38	700				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	96	1943-02-05		Yes	FWK	USGS	4.36	681				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		681				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	97	1943-03-24		Yes	JRT	USGS	4.33	597				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		597				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	98	1943-05-20		Yes	HMK	USGS	5.58	2260				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		2260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	99	1943-07-05		Yes	DJFC	USGS	6.23	2860				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		2860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	100	1943-07-06		Yes	DJFC	USGS	5.44	3260				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3260				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	101	1943-08-28		Yes	EN	USGS	4.43	630				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	102	1943-10-16		Yes	EGB	USGS	4.08	354				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		354				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	103	1943-12-20		Yes	WDS	USGS	4.30	595				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		595				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	104	1944-02-25		Yes	WDS	USGS	4.16	472				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		472				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	105	1944-04-13		Yes	WDS	USGS	4.67	1080				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1080				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	106	1944-05-26		Yes	DTS	USGS	5.18	1720				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	107	1944-07-06		Yes	MWH	USGS	4.70	1030				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1030				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	108	1944-07-09		Yes	MWH	USGS	4.56	889				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		889				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	109	1944-08-22		Yes	GWC	USGS	4.16	412				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		412				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	110	1944-10-08		Yes	DTS	USGS	4.44	576				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		576				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	112	1944-11-23		Yes	JRT/WMC	USGS	5.62	1500				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	113	1945-01-04		Yes	JCI/AWH	USGS	4.16	407				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		407				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	114	1945-02-15		Yes	WMC	USGS	4.95	1440				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1440				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	115	1945-04-11		Yes	JCI	USGS	4.37	764				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		764				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	116	1945-04-13		Yes	JCI	USGS	4.30	720				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	117	1945-05-30		Yes	JCI	USGS	6.68	4510				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	118	1945-07-18		Yes	WMD	USGS	4.51	855				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		855				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	119	1945-09-13		Yes	JCI	USGS	4.16	458				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		458				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	120	1945-09-20		Yes	JCI	USGS	5.00	1230				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14226500	121	1945-10-25		Yes	JCI	USGS	4.96	1700				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
