#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:23:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03403500 CUMBERLAND RIVER AT BARBOURVILLE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03403500	5	1923-02-16 13:00:00	EST	Yes	L	USGS	4.27	3330				Unspecified			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3330	167	894	3.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	6	1923-06-19 14:40:00	EDT	Yes	L	USGS	1.40	488				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	488	137	470	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	7	1923-07-27 14:15:00	EDT	Yes	L	USGS	0.82	166				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	166	138	376	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	8	1923-10-06 13:45:00	EST	Yes	C	USGS	0.24	28.1				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.1	52.0	43.0	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	10	1923-11-17 10:15:00	EST	Yes	LC	USGS	0.49	59.1				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	59.1	32.0	35.2	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	9	1923-11-30 09:30:00	EST	Yes	LC	USGS	0.49	58.3				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	58.3	32.0	34.2	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	11	1924-02-21 12:15:00	EST	Yes	C	USGS	21.50	12200				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12200	236	4360	2.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	12	1924-05-09 12:32:00	EDT	Yes	C	USGS	2.33	1070				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1070	155	549	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03403500	13	1924-05-12 11:20:00	EDT	Yes	C	USGS	3.51	2230				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2230	165	742	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
