#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:23:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03404000 CUMBERLAND RIVER AT WILLIAMSBURG, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03404000	1	1950-12-09 12:20:00	EST	Yes	RS	USGS	17.10	15500				Good	0.15	2.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	15500	294	4200	3.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	2	1951-01-12 10:50:00	EST	Yes	LL	USGS	5.25	1860				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1860	232	1080	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	3	1951-02-02 10:25:00	EST	Yes	HC	USGS	29.75	37200				Good	0.10	2.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	37200	431	9230	4.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	4	1951-02-02 15:10:00	EST	Yes	HC	USGS	29.84	37000				Good	0.00	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	37000	434	9380	3.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	69	1951-02-07 10:05:00	EST	Yes	WD	USGS	20.06	19400				Good	-0.09	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19400	343	5330	3.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	5	1951-02-22 12:25:00	EST	Yes	HC	USGS	21.32	12600				Good	-0.14	1.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12600	334	5660	4.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	6	1951-04-16 15:35:00	EST	Yes	LL	USGS	9.57	6080				Good	0.08	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6080	254	2100	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	7	1951-06-13 14:40:00	EDT	Yes	LL	USGS	4.72	1410				Good	-0.08	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1410	227	941	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	8	1951-07-16 15:30:00	EDT	Yes	LL	USGS	3.29	491				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	491	222	593	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	9	1951-08-24 15:45:00	EDT	Yes	LL	USGS	2.09	55.6				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	55.6	210	341	0.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	10	1951-10-12 13:40:00	EST	Yes	RS	USGS	2.35	124				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	124	90.0	110	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	11	1951-11-20 13:40:00	EST	Yes	RS	USGS	5.77	2140				Good	-0.06	1.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2140	231	1150	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	12	1951-11-26 09:05:00	EST	Yes	LL	USGS	13.02	10000				Good	0.10	1.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	10000	274	3050	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	13	1951-12-10 13:18:00	EST	Yes	LL	USGS	19.93	19400				Good	-0.18	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19400	323	5100	3.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404000	25	1952-01-08 08:25:00	EST	Yes	RS	USGS	6.84	2740				Fair	0.73	2.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2740	230	1230	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
