#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:23:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03404500 CUMBERLAND RIVER AT CUMBERLAND FALLS, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03404500	1	1915-04-03 13:20:00	EST	Yes	E	USGS	2.48	1870				Good	-0.02	2.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1870	368	1340	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	2	1916-04-23 06:45:00	EST	Yes	AH	USGS	2.33	1500				Good	0.02	2.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1500	358	1250	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	3	1916-09-13 12:20:00	EST	Yes	BJ	USGS	1.50	280				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	280	382	239	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	4	1916-09-14 08:30:00	EST	Yes	BB	USGS	1.47	244				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	244	372	219	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	5	1917-01-07 14:45:00	EST	Yes	BJ	USGS	8.85	34100				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	34100	496	4780	7.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	6	1917-01-08 07:55:00	EST	Yes	BJ	USGS	8.25	29700				Good	-0.14	3.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	29700	485	4410	6.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	7	1917-03-14 14:55:00	EST	Yes	LS	USGS	5.82	14200				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14200	438	2980	4.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	8	1917-03-15 08:30:00	EST	Yes	LS	USGS	5.03	10700				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10700	415	2590	4.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	9	1917-03-15 14:37:00	EST	Yes	LS	USGS	4.82	10700				Good	-0.09	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	10700	400	2490	4.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	10	1917-07-13 16:10:00	EST	Yes	BJ	USGS	1.23	80.0				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.0	234	87.0	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	11	1917-07-14 08:00:00	EST	Yes	BJ	USGS	1.22	78.0				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	78.0	118	92.0	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	12	1918-06-13 13:35:00	EDT	Yes	BH	USGS	1.50	320				Good	-0.01	1.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	320	314	610	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	13	1920-05-14 15:00:00	EDT	Yes	WK	USGS	2.41	1640				Good	-0.02	3.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1640	366	1290	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03404500	20	1921-01-12 10:00:00	EST	Yes	RW	USGS	3.51	4370				Good	0.03	2.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4370	371	1840	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
