#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:23:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03425000 CUMBERLAND RIVER AT CARTHAGE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03425000	4	1923-02-06 12:00:00	CST	Yes	PPL	USGS	42.74	127000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		127000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	32	1927-12-16 12:00:00	CST	Yes	PEH	USGS	21.80	53900				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		53900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	70	1933-03-05 12:00:00	CST	Yes	HME	USGS	44.08	131000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		131000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	100	1937-01-22 12:00:00	CST	Yes	AOP	USGS	50.36	151000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		151000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	242	1945-02-23 12:00:00	CDT	Yes	CW	USGS	40.89	107000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		107000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	257	1948-02-15 12:00:00	CST	Yes	WJP/EJL	USGS	53.86	173000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		173000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	384	1962-02-28 12:00:00	CST	Yes	RLR	USGS	37.92	99800				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		99800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	468	1983-08-29		Yes	JTH/MAH	USGS	10.91	16300				Good	0.73	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	16300	440	7050	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	469	1984-02-15		Yes	JTH/MAH	USGS	14.84	29000				Fair	-0.26	2.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	29000	480	9320	3.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	470	1985-03-21		Yes	JYH/AB	USGS	11.27	17100				Good	0.31	1.80	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	17100	440	8130	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	471	1985-06-19		Yes	JTH/AKB	USGS	8.42	8560				Fair	-0.20	1.80		STOR	1	Imported Channel 1	BOAT	unspe	unkno	8560	425	7050	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	472	1985-08-13		Yes	JTH/GB	USGS	8.42	8600				Good	0.13	1.30	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8600	425	6750	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	473	1986-04-08		Yes	AKB/GLE	USGS	8.56	8750				Good	0.03	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	8750	430	6840	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	474	1986-05-22		Yes	AKB/GLE	USGS	8.42	7610				Good	0.35	1.40	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	7610	425	6830	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	476	1987-04-29		Yes	BNF/RRP	USGS	8.93	10300				Good	-0.28	1.30	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	10300	433	6470	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03425000	475	1987-04-29 11:00:00	CDT	Yes	BNF/RRP	USGS	9.52	11400				Good	-0.67	1.50	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	11400	433	7330	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
