#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:04 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 034315005 CUMBERLAND RIVER AT WOODLAND ST AT NASHVILLE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	034315005	1	1992-05-14 09:05:00	CDT	Yes	RLK/JTH	USGS	17.90	11800				Good	-0.16	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	11800	452	8890	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	2	1992-06-12 09:30:00	CDT	Yes	DEB/AKB	USGS	19.45	20500				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	20500	457	9110	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	3	1992-06-18 13:00:00	CDT	Yes	DEB/AKB	USGS	17.79	12100				Good	0.28	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12100	452	8600	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	4	1992-06-24 09:25:00	CDT	Yes	AKB/RLK	USGS	18.03	13800				Good	-0.30	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13800	452	8660	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	5	1992-07-13 11:05:00	CDT	Yes	AKB	USGS	17.81	16500				Good	0.35	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	16500	452	8540	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	6	1992-08-06 09:00:00	CDT	Yes	JTH/DEL	USGS	18.08	17400				Good	0.10	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	17400	452	8630	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	7	1992-08-13 11:00:00	CDT	Yes	AKB/DEB	USGS	17.86	6890				Good	0.28	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6890	452	8580	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	8	1992-09-25 09:15:00	CDT	Yes	AKB/DEB	USGS	21.08	32500				Good	0.07	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	32500	452	9880	3.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	034315005	9	1993-01-06 09:00:00	CST	Yes	RLK/DEL	USGS	24.88	48300				Good	-0.08	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	48300	452	11700	4.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
