#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:40 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02069000 DAN RIVER AT PINE HALL, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02069000	63	1919-07-24		Yes	SCS	USGS	2.23	288.0	 1.0	0.00	-51.7	FAIR	0.01	1.50	HVDB	MEAS	1	Unspecified	WADE	QUNSP		288.0	110	189	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	40	1983-12-13		Yes	IJF	USGS	5.86	1870	 1.0	0.00		GOOD	-0.09	0.83		MEAS	1	Unspecified	CRAN	QUNSP		1870	152	757	2.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	41	1984-04-03		Yes	IJF	USGS	4.73	1106	 1.0	0.00		GOOD	-0.04	0.80		MEAS	1	Unspecified	CRAN	QUNSP		1106	147	527	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	42	1984-08-14		Yes	IJF	USGS	5.24	1540	 1.0	0.00		GOOD	0.45	0.30		MEAS	1	Unspecified	CRAN	QUNSP		1540	151	561	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	43	1986-06-12 12:45:00	EDT	Yes	JFR	USGS	1.33	189.0	 1.0	0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		189.0	106	117	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	44	1986-06-17 08:45:00	EDT	Yes	IJF	USGS	1.26	170.0	 1.0	0.00		GOOD	0.10	1.10	MDDB	MEAS	1	Unspecified	WADE	QUNSP		170.0	105	117	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	45	1986-06-27 09:05:00	EDT	Yes	IJF	USGS	0.91	111.0	 1.0	0.00		GOOD	0.00	1.10	MDDB	MEAS	1	Unspecified	WADE	QUNSP		111.0	106	74.2	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	46	1986-07-29 09:32:00	EDT	Yes	IJF	USGS	0.96	165.0	 2.0	0.00		GOOD	-0.02	1.20	MDDB	MEAS	1	Unspecified	WADE	QUNSP		165.0	105	103	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	47	1986-08-04 09:24:00	EDT	Yes	IJF	USGS	0.41	83.9	 2.0	0.00		GOOD	0.00	1.00	MDDB	MEAS	1	Unspecified	WADE	QUNSP		83.9	97.0	58.7	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	48	1986-09-08 11:34:00	EDT	Yes	IJF	USGS	1.54	296.0		0.00		GOOD	-0.01	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		296.0	108	177	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	49	1986-10-21 14:10:00	EDT	Yes	CMR	USGS	0.97	102.0		0.00		POOR	0.02	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		102.0	97.0	108	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	73	1987-01-19 12:13:00	EST	Yes	SCS	USGS	1.97	209.0		0.00		GOOD	0.00	0.70	LGDB	MEAS	1	Unspecified	WADE	QUNSP		209.0	92.5	141	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	51	1987-03-02 09:39:00	EST	Yes	RCP	USGS	13.80	4840	 2.0	0.00		FAIR	-1.45	2.10	HVDB	MEAS	1	Unspecified	BRUS	QUNSP		4840	200	2270	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	52	1987-03-10 13:00:00	EST	Yes	SCS/RCP	USGS	3.50	1050	 2.0	0.00	14.7	POOR	-0.05	2.00	HVDB	MEAS	1	Unspecified	BRUS	QUNSP		1050	147	470	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	53	1987-03-18 10:50:00	EST	Yes	RCP	USGS	2.57	580.0	 1.0	0.00	0.00	FAIR	0.00	0.90	HVDB	MEAS	1	Unspecified	BRUS	QUNSP		580.0	158	349	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	54	1987-03-26 10:18:00	EST	Yes	RCP	USGS	2.86	597.0	 2.0	0.00	-11.0	FAIR	0.00	1.50	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		597.0	160	353	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	55	1987-03-30 12:15:00	EST	Yes	RCP/SCS	USGS	2.79	808.0	 2.0	0.00	8.30	FAIR	-0.28	2.20	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		808.0	154	370	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	56	1987-04-06 14:15:00	EDT	Yes	RCP	USGS	4.36	1020	 2.0	0.00		POOR	0.00	3.00	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		1020	171	504	2.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	57	1987-04-24 11:30:00	EDT	Yes	JFR/SCS	USGS	19.27	14200	 1.0	0.00		FAIR	2.14	4.50	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		14200	220	3480	4.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	58	1987-04-25 10:10:00	EDT	Yes	JFR/RCP	USGS	22.68	17000	 1.0	0.00		FAIR	0.37	2.00	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		17000	365	4830	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	59	1987-04-26 10:10:00	EDT	Yes	JFR/RCP	USGS	11.46	4840	 1.0	0.00		FAIR	-0.55	1.50	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		4840	196	1760	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	60	1987-04-28 08:23:00	EDT	Yes	RCP/SCS	USGS	6.38	2158	 1.0	0.00	-7.40	FAIR	-0.04	1.60	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2158	177	953	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	61	1987-05-15 10:15:00	EDT	Yes	RCP	USGS	3.56	649.0	 1.0	0.00	-29.4	POOR	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		649.0	112	323	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	62	1987-05-21 09:30:00	EDT	Yes	SCS	USGS	3.23	760.0	 1.0	0.00	-4.70	FAIR	0.03	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		760.0	130	364	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	64	1987-08-06		Yes	SCS	USGS	2.05	246.0	 1.0	0.00	-51.6	GOOD	0.00	0.90	HVDB	MEAS	1	Unspecified	WADE	QUNSP		246.0	100	155	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	65	1987-08-17 08:10:00	EDT	Yes	RCP/SCS	USGS	2.03	226.0	 1.0	0.00	-50.4	GOOD	0.00	0.90	HVDB	MEAS	1	Unspecified	WADE	QUNSP		226.0	102	139	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	66	1987-08-17 11:59:00	EDT	Yes	RCP/SCS	USGS	1.89	228.0	 1.0	0.00	-47.8	GOOD	-0.01	0.70	HVDB	MEAS	1	Unspecified	WADE	QUNSP		228.0	102	137	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	67	1987-09-08 09:12:00	EDT	Yes	SCS	USGS	19.54	9090	 2.0	0.00	-52.9	GOOD	-0.66	1.00	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		9090	329	3130	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	68	1987-09-08 10:43:00	EDT	Yes	SCS	USGS	18.08	7090		0.00		GOOD	-1.55	1.70	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		7090	220	2460	2.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	69	1987-09-08 12:20:00	EDT	Yes	SCS	USGS	14.67	4640		0.00		FAIR	-3.64	1.90	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		4640	155	1710	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	70	1987-09-14 09:28:00	EDT	Yes	RCP/SCS	USGS	4.98	860.0	 1.0	0.00	-0.500	GOOD	0.00	1.70	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		860.0	162	472	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	71	1987-09-28 09:28:00	EDT	Yes	SCS	USGS	2.03	277.0		0.00		GOOD	0.00	0.70	HVDB	MEAS	1	Unspecified	WADE	QUNSP		277.0	104	170	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	72	1987-10-07 11:00:00	EDT	Yes	SCS	USGS	1.92	2.63		0.00		GOOD	0.00	0.80	HVDB	MEAS	1	Unspecified	WADE	QUNSP		2.63	105	169	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	74	1987-11-24 10:30:00	EST	Yes	SCS	USGS	2.08	268.0		0.00		GOOD	0.00	0.75	MDDB	MEAS	1	Unspecified	WADE	QUNSP		268.0	104	174	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	50	1987-12-04 11:20:00	EST	Yes	RCP/CMR	USGS	1.79	465.0	 2.0	0.00		GOOD	0.04	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		465.0	105	229	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	75	1988-01-02 11:13:00	EST	Yes	SCS	USGS	2.69	503.0		0.00		GOOD	0.01	3.00	MDDB	MEAS	1	Unspecified	WADE	QUNSP		503.0	104	254	1.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	76	1988-02-17 12:43:00	EST	Yes	SCS	USGS	2.37	443.0		0.00		GOOD	0.04	2.25	LGDB	MEAS	1	Unspecified	WADE	QUNSP		443.0	106	228	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	77	1988-03-28 09:34:00	EST	Yes	RCP	USGS	2.81	565.0		0.00		FAIR	-0.01	1.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		565.0	114	260	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	78	1988-04-15 08:33:00	EDT	Yes	RCP	USGS	2.14	372.0		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		372.0	104	206	1.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	79	1988-05-18 12:59:00	EDT	Yes	SCS	USGS	2.84	742.0		0.00		GOOD	-0.06	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		742.0	161	383	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	80	1988-06-08 13:25:00	EDT	Yes	SCS	USGS	1.38	205.0	 3.0	0.00		GOOD	0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		205.0	102	132	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	81	1988-07-06 12:30:00	EDT	Yes	SCS	USGS	1.20	156.0	 3.0	0.00		GOOD	0.02	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		156.0	97.0	104	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	82	1988-10-14 12:00:00	EDT	Yes	MDC	USGS	1.35	193.9	 3.0	0.00		FAIR	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		193.9	99.0	133	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	83	1988-12-07 14:30:00	EST	Yes	MDC	USGS	1.78	296.0	 4.0	0.070	5.00	GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		296.0	100	176	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	84	1989-01-09 09:50:00	EST	Yes	MDC	USGS	1.88	313.0	 4.0	0.040	3.30	GOOD	-0.01	1.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		313.0	100	204	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	85	1989-03-14 11:00:00	EST	Yes	MDC	USGS	2.20	464.0	 4.0	0.270	19.0	FAIR	0.00	1.50	HVDB	MEAS	1	Unspecified	CRAN	QUNSP		464.0	140	286	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	86	1989-05-24 10:45:00	EDT	Yes	MDC	USGS	2.71	662.0	 4.0	0.400	23.0	FAIR	-0.01	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		662.0	160	317	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	87	1989-07-07 14:30:00	EDT	Yes	HOH	USGS	4.47	1330	 4.0	0.290	10.8	FAIR	-0.10	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1330	127	530	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	88	1989-08-25 10:00:00	EDT	Yes	MDC	USGS	2.81	715.0	 4.0	0.460	25.8	FAIR	0.19	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		715.0	164	325	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	89	1989-09-25 11:20:00	EDT	Yes	MDC	USGS	3.27	881.0	 4.0	0.440	23.0	FAIR	0.02	1.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		881.0	165	382	2.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	90	1989-11-16 11:10:00	EST	Yes	MDC	USGS	3.15	780.0	 5.0	-0.150	0.00	FAIR	0.13	1.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		780.0	143	342	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02069000	91	1990-02-14 12:45:00	EST	Yes	MDC	USGS	4.42	1270	 5.0	-0.170	0.00	FAIR	0.02	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1270	175	573	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
