#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02071000 DAN RIVER NEAR WENTWORTH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02071000	1	1939-11-23 11:20:00	EST	Yes	K	USGS	2.53	684.0		0.00		GOOD	0.06	1.40		MEAS	1	Unspecified	CWAY	QUNSP		684.0	148	366	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	2	1939-11-25 08:45:00	EST	Yes	M/  K	USGS	2.28	526.0		0.00		GOOD	0.00	1.10		MEAS	1	Unspecified	CWAY	QUNSP		526.0	144	319	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	3	1940-01-06 14:50:00	EST	Yes	DBB	USGS	2.04	381.0		0.00		FAIR	0.00	1.10		MEAS	1	Unspecified	CWAY	QUNSP		381.0	143	292	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	4	1940-01-21 10:00:00	EST	Yes	JWG	USGS	2.20	430.0		0.00		FAIR	-0.02	1.10	SICE	MEAS	1	Unspecified	CWAY	QUNSP		430.0	145	342	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	5	1940-02-16 14:00:00	EST	Yes	K	USGS	2.90	752.0		0.00		GOOD	-0.03	1.10		MEAS	1	Unspecified	CWAY	QUNSP		752.0	145	432	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	6	1940-02-19 09:30:00	EST	Yes	PGF/JWG	USGS	10.26	5770		0.00		GOOD	-0.02	1.90		MEAS	1	Unspecified	CWAY	QUNSP		5770	202	1770	3.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	7	1940-02-19 17:00:00	EST	Yes	JWG	USGS	9.45	5340		0.00		GOOD	-0.20	0.90		MEAS	1	Unspecified	CWAY	QUNSP		5340	195	1570	3.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	9	1940-02-20 08:40:00	EST	Yes	PGF	USGS	6.00	2390		0.00		GOOD	-0.15	1.60		MEAS	1	Unspecified	CWAY	QUNSP		2390	160	938	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02071000	8	1940-02-20 08:40:00	EST	Yes	PGF	USGS	6.17	2530		0.00		UNSP	-0.14	1.33		MEAS	1	Unspecified	UNSP			2530				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
