#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02075045 DAN RIVER AT STP NEAR DANVILLE, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02075045	1	1993-10-28 10:35:00	EDT	Yes	SLW/RMM	USGS	5.25	951.0	 1.0	0.00		UNSP				UNSP	1	Unspecified	CRAN	QUNSP		951.0	185	622	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	2	1993-11-30 10:00:00	EST	Yes	SLW	USGS	6.30	2010	 1.0	0.00		GOOD	-0.01	0.83	CLER	UNSP	1	Unspecified	CRAN	QUNSP		2010	184	796	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	3	1994-03-24 09:18:00	EST	Yes	SLW	USGS	6.47	2240	 1.0	0.00		GOOD	-0.05	0.95	CLER	UNSP	1	Unspecified	CRAN	QUNSP		2240	182	803	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	4	1994-03-29 13:30:00	EST	Yes	FLS/RMM	USGS	23.86	34700	 1.0	0.00		FAIR	-0.05	1.28		UNSP	1	Unspecified	CRAN	QUNSP		34700	895	9820	3.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	5	1994-04-20 09:30:00	EDT	Yes	FLS/RMM	USGS	6.42	2660	 1.0	0.00		FAIR	-0.09	1.25	CLER	UNSP	1	Unspecified	CRAN	QUNSP		2660	194	937	2.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	6	1994-06-21 09:05:00	EDT	Yes	SLW	USGS	5.29	863.0	 1.0	0.00		GOOD			MDDB	UNSP	1	Unspecified	CRAN	QUNSP		863.0	159	554	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	7	1994-07-06 19:00:00	EDT	Yes	RMM/JRG	USGS	4.96	712.0	 1.0	0.00		FAIR	0.47	0.67	LGDB	UNSP	1	Unspecified	CRAN	QUNSP		712.0	188	534	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	8	1994-07-20 08:35:00	EDT	Yes	SLW/RMM	USGS	5.90	1480	 1.0	0.00		FAIR	0.00	0.75		UNSP	1	Unspecified	CRAN	QUNSP		1480	190	700	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	9	1994-08-16 09:05:00	EDT	Yes	RMM/SLW	USGS	6.01	1610	 1.0	0.00		GOOD	0.04	1.00	LGDB	UNSP	1	Unspecified	CRAN	QUNSP		1610	168	699	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	10	1994-09-21 15:55:00	EDT	Yes	RMM/SLW	USGS	5.16	990.0		0.00		GOOD	0.00	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		990.0	183	630	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	11	1994-11-09 11:50:00	EST	Yes	SLW	USGS	5.30	996.0		0.00	4.00	GOOD	0.00	0.92		UNSP	1	Unspecified	CRAN	QUNSP		996.0	185	590	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	12	1995-03-21 11:18:00	EST	Yes	SLW	USGS	6.10	1930	 1.0	0.100	0.00	GOOD	-0.01	0.88		MEAS	1	Unspecified	CRAN	QUNSP		1930	173	742	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	13	1995-06-29 13:50:00	EDT	Yes	AWC/JBC	USGS	24.31	39100	 1.0	1.25	0.00	GOOD	0.12	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		39100	910	10800	3.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	14	1995-07-11 11:30:00	EDT	Yes	RMM	USGS	5.83	1570	 1.0	0.00	1.30	GOOD	0.26	1.00		MEAS	1	Unspecified	CRAN	QUNSP		1570	186	758	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	15	1995-09-07 13:50:00	EDT	Yes	SLW	USGS	5.20	896.0	 1.0	0.00		GOOD	0.00	0.75		MEAS	1	Unspecified	CRAN	QUNSP		896.0	172	545	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	16	1995-10-18 17:45:00	EDT	Yes	RMM/FLS	USGS	5.80	1430	 3.0	0.00	-3.40	GOOD	-0.03	1.00		MEAS	1	Unspecified	CRAN	QUNSP		1430	177	696	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	17	1995-12-06 17:00:00	EST	Yes	RMM	USGS	5.78	1460	 3.0	0.00	0.00	GOOD	-0.39	0.83		MEAS	1	Unspecified	CRAN	QUNSP		1460	181	710	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	18	1996-01-02 17:00:00	EST	Yes	RMM	USGS	6.15	1790	 3.0	0.00	-3.80	GOOD	0.00	1.00		MEAS	1	Unspecified	CRAN	QUNSP		1790	182	764	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	19	1996-03-06 17:40:00	EST	Yes	SLW	USGS	6.13	1930	 3.0	0.00	4.90	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1930	181	780	2.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075045	20	1996-05-07 14:40:00	EDT	Yes	SLW	USGS	9.10	6360	 3.0	0.00	7.80	POOR	-0.03	0.80	ALGA	MEAS	1	Unspecified	CRAN	QUNSP		6360	202	1520	4.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
