#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:43 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02075500 DAN RIVER AT PACES, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02075500	1	1950-11-10 13:00:00	EST	Yes	JRC	USGS	4.33	1380				GOOD				MEAS	1		UNSP	QSCMM		1380	178	734	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	2	1950-12-06 16:05:00	EST	Yes	MSB	USGS	8.88	4720				GOOD				MEAS	1		UNSP	QSCMM		4720	193	1660	2.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	3	1950-12-10 16:30:00	EST	Yes	JRC/MSB	USGS	7.90	3870				GOOD				MEAS	1		UNSP	QSCMM		3870	184	1340	2.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	4	1951-01-10 16:00:00	EST	Yes	JRC	USGS	4.14	1420				GOOD				MEAS	1		UNSP	QSCMM		1420	176	730	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	5	1951-02-07 15:00:00	EST	Yes	JRC	USGS	5.39	2160				GOOD				MEAS	1		UNSP	QSCMM		2160	178	879	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	6	1951-02-08 20:30:00	EST	Yes	MSB/HMF	USGS	17.28	14900				GOOD				MEAS	1		UNSP	QSCMM		14900	238	3580	4.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	7	1951-02-09 15:30:00	EST	Yes	HMF/JRC	USGS	13.82	8380				GOOD				MEAS	1		UNSP	QSCMM		8380	222	2710	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	8	1951-02-09 18:40:00	EST	Yes	HMF/JRC	USGS	11.80	6320				GOOD				MEAS	1		UNSP	QSCMM		6320	207	2240	2.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02075500	9	1951-03-15 12:20:00	EST	Yes	WGB/MSB	USGS	14.46	10300				GOOD				MEAS	1		UNSP	QSCMM		10300	228	2820	3.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
