#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:24:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01425000 WEST BRANCH DELAWARE RIVER AT STILESVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01425000	1	1952-07-03		Yes	X	USGS	1.00	101				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	101	200	298	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	2	1952-07-07		Yes	X	USGS	0.95	91.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	91.2	200	235	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	3	1952-07-10		Yes	X	USGS	4.46	4550				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4550	209	967	4.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	4	1952-07-29		Yes	X	USGS	1.16	173				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	173	174	195	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	5	1952-08-06		Yes	X	USGS	1.00	101				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	101	96.0	109	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	6	1952-09-09		Yes	X	USGS	1.29	187				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	187	230	324	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	7	1952-10-01		Yes	X	USGS	0.97	81.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	81.2	195	302	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	8	1952-10-09		Yes	X	USGS	1.06	95.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	95.7	115	112	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01425000	9	1952-10-17		Yes	X	USGS	0.92	70.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	70.7	116	91.6	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
