#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01428500 DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01428500	1	1941-01-08		Yes	X	USGS	4.39	2820				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2820	337	1640	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	2	1941-02-04		Yes	X	USGS	5.52	1080				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1080	341	1530	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	3	1941-02-20		Yes	X	USGS	4.67	2950				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2950	255	1450	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	4	1941-03-11		Yes	X	USGS	4.08	2430				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2430	266	1320	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	5	1941-04-03		Yes	X	USGS	6.90	10200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10200	381	2480	4.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	6	1941-04-03		Yes	X	USGS	6.92	10200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10200	381	2510	4.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	8	1941-04-16		Yes	X	USGS	6.93	10100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10100	387	2520	4.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	9	1941-05-05		Yes	X	USGS	3.46	1530				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1530	330	1290	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01428500	10	1941-05-28		Yes	X	USGS	2.94	899				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	899	305	1130	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
