#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:10 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01434000 DELAWARE RIVER AT PORT JERVIS NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01434000	1	1906-11-02		Yes	X	USGS	3.49	4350				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4350	569	2680		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	2	1906-11-05		Yes	X	USGS	2.99	3480				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3480	568	2380		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	3	1906-11-10		Yes	X	USGS	2.59	2440				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2440	540	2100		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	4	1906-11-12		Yes	X	USGS	2.79	2820				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2820	550	2240		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	5	1906-11-19		Yes	X	USGS	3.89	7540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7540	590	2890		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	6	1907-01-05		Yes	X	USGS	6.28	15400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15400	605	4410		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	7	1908-05-10		Yes	X	USGS	7.08	20500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20500	627	4850		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	8	1908-05-11		Yes	X	USGS	6.27	15700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15700	611	4310		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	9	1908-08-29		Yes	X	USGS	1.00	407				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	407	503	1200		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01434000	10	1908-09-03		Yes	X	USGS	0.85	310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	310	490	1060		UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
