#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:11 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01438500 Delaware River at Montague NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01438500	4	1940-04-01		Yes	RWT/ACL	USGS	20.39	86550		0.00		UNSP				MEAS	1	Unspecified	UNSP			86550				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	5	1940-04-02		Yes	RWY/ACL	USGS	15.17	46070		0.00		UNSP				MEAS	1	Unspecified	UNSP			46070				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	15	1941-04-07		Yes	ACL	USGS	13.07	33050		0.00		UNSP				MEAS	1	Unspecified	UNSP			33050				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	16	1941-04-08		Yes	ACL	USGS	11.34	24170		0.00		UNSP				MEAS	1	Unspecified	UNSP			24170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	17	1941-04-09		Yes	ACL	USGS	10.45	20180		0.00		UNSP				MEAS	1	Unspecified	UNSP			20180				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	26	1942-03-11		Yes	MOL	USGS	9.94	17400		0.00		UNSP				MEAS	1	Unspecified	UNSP			17400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	40	1943-05-11		Yes	ACL	USGS	9.47	15960		0.00		UNSP				MEAS	1	Unspecified	UNSP			15960				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	59	1944-03-28		Yes	WTS	USGS	9.82	17250		0.00		UNSP				MEAS	1	Unspecified	UNSP			17250				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	66	1945-03-19		Yes	ISL	USGS	14.70	45800		0.00		UNSP				UNSP	1	Unspecified	UNSP			45800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	67	1945-03-22		Yes	CWR/ISL	USGS	14.59	43700		0.00		UNSP				MEAS	1	Unspecified	UNSP			43700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	93	1948-03-23		Yes	HHH	USGS	19.40	77360		0.00		UNSP				MEAS	1	Unspecified	UNSP			77360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	106	1950-04-07		Yes	GIE	USGS	12.29	30240		0.00		UNSP				MEAS	1	Unspecified	UNSP			30240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	119	1952-04-17		Yes	MAT	USGS	10.96	22710		0.00		UNSP				MEAS	1	Unspecified	UNSP			22710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	126	1953-03-16		Yes	BEA	USGS	11.65	26900		0.00		UNSP				MEAS	1	Unspecified	UNSP			26900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01438500	134	1953-12-08		Yes	STA	USGS	10.84	22400		0.00		UNSP				MEAS	1	Unspecified	UNSP			22400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
