#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:22 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05476000 DES MOINES RIVER AT JACKSON, MN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05476000	76	1950-01-12		Yes	T	USGS	2.88	2.39				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2.39	28.0	8.55	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	77	1950-02-24		Yes	T	USGS	2.90	2.44				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2.44	29.0	8.60	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	78	1950-03-22		Yes	JEJ	USGS	3.24	10.5				Good			IceShore	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10.5	42.0	27.8	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	79	1950-03-29		Yes	JEJ	USGS	6.84	748				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	748	88.0	353	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	80	1950-04-05		Yes	JEJ	USGS	6.44	743				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	743	86.0	290	2.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	81	1950-04-20		Yes	T	USGS	4.75	257				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	257	85.0	166	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	82	1950-06-02		Yes	T	USGS	4.24	177				Good			ScourControlChanged	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	177	76.0	122	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	83	1950-07-11		Yes	REL	USGS	3.10	17.3				Good			ScourControlChanged	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17.3	42.0	26.2	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	05476000	84	1950-08-06		Yes	JHH	USGS	2.68	1.87				Good			ScourControlChanged	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1.87	22.4	3.36	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
