#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:24 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05476750 Des Moines River at Humboldt, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05476750	1	1940-03-07 15:55:00	CST	Yes	GLW/WAS	USGS	2.54	14.0				GOOD			CLER	MEAS	1		UNSP	QSCMM		14.0	53.0	60.0	0.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	2	1940-04-09 10:55:00	CST	Yes	GLW	USGS	3.80	461				GOOD			CLER	MEAS	1		UNSP	QSCMM		461	138	316	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	3	1940-05-15 11:10:00	CST	Yes	GLW	USGS	3.67	361				GOOD			CLER	MEAS	1		UNSP	QSCMM		361	137	280	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	4	1940-05-22 08:25:00	CST	Yes	RWR	USGS	3.24	162				GOOD			CLER	MEAS	1		UNSP	QSCMM		162	100	221	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	5	1940-08-15 10:00:00	CST	Yes	GLW	USGS	3.59	323				GOOD			CLER	MEAS	1		UNSP	QSCMM		323	137	265	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	6	1940-10-10 14:15:00	CST	Yes	GLW	USGS	2.62	19.0				GOOD			CLER	MEAS	1		UNSP	QSCMM		19.0	52.0	50.2	0.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	7	1940-11-25 13:15:00	CST	Yes	LJS/WIT	USGS	3.24	164				GOOD			CLER	MEAS	1		UNSP	QSCMM		164	136	207	0.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	8	1941-01-08 12:50:00	CST	Yes	HHB	USGS	2.62	17.3				GOOD			CLER	MEAS	1		UNSP	QSCMM		17.3	89.0	109	0.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	9	1941-03-20 11:00:00	CST	Yes	LJS	USGS	3.92	492				GOOD			CLER	MEAS	1		UNSP	QSCMM		492	140	306	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	10	1941-04-17 10:00:00	CST	Yes	HHB	USGS	4.97	1240				GOOD			CLER	MEAS	1		UNSP	QSCMM		1240	159	412	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	11	1941-05-04 16:30:00	CST	Yes	LCC	USGS	4.78	1100				GOOD			CLER	MEAS	1		UNSP	QSCMM		1100	159	363	3.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	12	1941-06-06 08:30:00	CST	Yes	GLW	USGS	3.98	535				GOOD			CLER	MEAS	1		UNSP	QSCMM		535	141	312	1.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	13	1941-07-22 11:30:00	CST	Yes	GLW/CFL	USGS	3.86	477				GOOD			CLER	MEAS	1		UNSP	QSCMM		477	140	300	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	14	1941-08-08 09:00:00	CST	Yes	AHH	USGS	3.25	169				UNSP			CLER	MEAS	1		UNSP	QSCMM		169	133	187	0.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	15	1941-10-07 14:40:00	CST	Yes	CFL	USGS	4.77	1030				GOOD			CLER	MEAS	1		UNSP	QSCMM		1030	153	336	3.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	16	1941-11-07 15:05:00	CST	Yes	HDB	USGS	5.87	1950				EXCL			CLER	MEAS	1		UNSP	QSCMM		1950	173	548	3.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	17	1942-01-17 13:30:00	CST	Yes	LJS	USGS	3.30	183				GOOD			SICE	MEAS	1		UNSP	QSCMM		183	137	200	0.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	18	1942-03-20 08:30:00	CDT	Yes	LJS	USGS	4.38	794				GOOD			CLER	MEAS	1		UNSP	QSCMM		794	155	293	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	19	1942-06-12 09:50:00	CDT	Yes	GLW	USGS	5.82	1840				GOOD			CLER	MEAS	1		UNSP	QSCMM		1840	163	530	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	20	1942-09-01 17:25:00	CDT	Yes	CFL	USGS	4.22	700				GOOD			CLER	MEAS	1		UNSP	QSCMM		700	142	344	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	21	1942-09-23 10:10:00	CDT	Yes	AHH	USGS	6.51	2590				UNSP			CLER	MEAS	1		UNSP	QSCMM		2590	170	662	3.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	22	1943-01-28 08:40:00	CDT	Yes	LCC/WAS	USGS	2.75	37.5				GOOD			CICE	MEAS	1		UNSP	QSCMM		37.5	113	79.4	0.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	23	1943-01-28 14:00:00	CDT	Yes	LCC/WAS	USGS	3.40	178				GOOD			CICE	MEAS	1		UNSP	QSCMM		178	131	164	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	24	1943-03-19 09:05:00	CDT	Yes	GLW	USGS	4.56	937				GOOD			CLER	MEAS	1		UNSP	QSCMM		937	159	329	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	25	1943-05-06 11:35:00	CDT	Yes	AHH	USGS	3.85	464				UNSP			CLER	MEAS	1		UNSP	QSCMM		464	155	267	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05476750	26	1943-06-15 15:40:00	CDT	Yes	SJM	USGS	5.82	1850				GOOD			CLER	MEAS	1		UNSP	QSCMM		1850	163	522	3.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
