#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05481650 Des Moines River near Saylorville, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05481650	1A	1953-07-22 14:45:00	CST	Yes	CES/COE	USGS	7.15	1470		0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	BRUS	QUNSP		1470	309	820	1.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	1	1959-09-16 08:05:00	CST	Yes	CDS/REB	USGS	5.16	199.0		0.00		GOOD	0.00	1.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		199.0	105	109	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	2	1959-10-19 14:35:00	CST	Yes	WJM/RDB	USGS	5.22	328.0		0.00		GOOD	-0.01	0.66	CLER	MEAS	1	Unspecified	UNSP			328.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	3	1960-02-15 15:05:00	CST	Yes	CDS/REB	USGS	6.88	532.0		0.00		GOOD	0.01	0.91	CLER	MEAS	1	Unspecified	ICE	QSCMM		532.0	158	418	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	4	1960-04-22 08:35:00	CST	Yes	RDB/JSB	USGS	11.27	5110		0.00		UNSP	0.06	1.91	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5110	519	3570	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	5	1960-05-18 08:50:00	CST	Yes	REB/JSB	USGS	8.48	22.2		0.00		GOOD	-0.03	21.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		22.2	277	1470	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	6	1960-06-15 12:45:00	CST	Yes	D T/--S	USGS	8.65	2550		0.00		UNSP	-0.02	2.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2550	279	1550	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	7	1960-07-22 09:05:00	CST	Yes	D T/RDB	USGS	6.68	1350		0.00		GOOD	0.01	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1350	264	919	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	8	1960-09-22 08:45:00	CST	Yes	ALC/JSB	USGS	5.39	499.0		0.00		GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		499.0	143	270	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	9	1960-10-19 13:00:00	CST	Yes	CDS/--S	USGS	5.35	442.0		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		442.0	198	296	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	10	1960-11-16 14:00:00	CST	Yes	CDS/--S	USGS	5.22	351.0		0.00		GOOD	0.00	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		351.0	145	248	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	11	1961-01-18 16:15:00	CST	Yes	JSB/--S	USGS	5.29	218.0		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		218.0	139	213	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	12	1961-02-16 12:00:00	CST	Yes	ALC/--S	USGS	5.63	253.0		0.00		UNSP	0.02	2.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		253.0	140	225	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	13	1961-03-14 14:00:00	CST	Yes	CDS/JDB	USGS	9.52	3570		0.00		GOOD	-0.01	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3570	300	1620	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	14	1961-04-12 08:05:00	CST	Yes	JDB/--S	USGS	11.43	6160		0.00		GOOD	0.02	1.08	CLER	MEAS	1	Unspecified	CRAN	QUNSP		6160	520	3300	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	15	1961-05-11 14:30:00	CST	Yes	CDS	USGS	7.60	2300		0.00		GOOD	-0.01	1.16	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2300	369	1430	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	16	1961-06-07 09:40:00	CST	Yes	CDS/ALC	USGS	9.96	4050		0.00		GOOD	0.03	1.08	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4050	300	2050	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	17	1961-06-15 08:25:00	CST	Yes	JDB/ALC	USGS	8.80	33.2		0.00		GOOD	0.05	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		33.2	283	1770	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	18	1961-08-07 14:00:00	CST	Yes	DJG	USGS	7.90	2200		0.00		GOOD	0.00	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2200	263	1170	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	19	1961-08-17 12:00:00	CST	Yes	F M/JDB	USGS	5.86	901.0		0.00		GOOD	-0.01	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		901.0	256	632	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	20	1961-09-11 17:45:00	CST	Yes	DJG	USGS	5.36	416.0		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		416.0	235	309	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	21	1961-10-06 13:00:00	CST	Yes	OJL	USGS	6.39	1150		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1150	261	742	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	22	1961-10-12 14:00:00	CST	Yes	F M/JDB	USGS	9.02	3460		0.00		GOOD	0.06	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3460	294	1600	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	23	1961-11-13		Yes	DJG	USGS	6.89	1270		0.00		GOOD	0.00	1.08	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1270	261	831	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	24	1961-12-04 11:45:00	CST	Yes	DJG	USGS	6.73	1250		0.00		GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1250	259	814	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	25	1962-01-10 13:10:00	CST	Yes	OJL	USGS	6.85	543.0		0.00		POOR	0.00	0.58	CLER	MEAS	1	Unspecified	ICE	QSCMM		543.0	240	453	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	26	1962-01-16 09:05:00	CST	Yes	--G	USGS		491.0		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		491.0	220	420	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	27	1962-02-08 10:30:00	CST	Yes	DJG	USGS	7.10	779.0		0.00		POOR	0.00	1.16	CLER	MEAS	1	Unspecified	ICE	QSCMM		779.0	260	558	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	28	1962-03-07 12:00:00	CST	Yes	DJG	USGS	7.18	488.0		0.00		POOR	0.00	1.00	CLER	MEAS	1	Unspecified	ICE	QSCMM		488.0	270	467	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	28A	1962-03-29 14:25:00	CST	Yes	F M	USGS		15400		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		15400	548	16300	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	29	1962-04-02 13:00:00	CST	Yes	DJG	USGS	20.70	27400		0.00		GOOD	0.01	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		27400	587	8530	3.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	30	1962-04-03 09:50:00	CST	Yes	OJL/REM	USGS	21.07	31600		0.00		GOOD	0.06	1.58	CLER	MEAS	1	Unspecified	CRAN	QUNSP		31600	585	8600	3.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	31	1962-04-06 10:40:00	CST	Yes	OJL	USGS	19.11	22000		0.00		GOOD	-0.02	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		22000	565	7300	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	32	1962-04-09 10:40:00	CST	Yes	OJL	USGS	18.26	18500		0.00		GOOD	0.01	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		18500	560	6860	2.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	33	1962-04-16 10:45:00	CST	Yes	OJL/DJG	USGS	17.05	15300		0.00		GOOD	-0.02	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		15300	550	6540	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	34	1962-04-19 10:30:00	CST	Yes	DJG	USGS	15.73	12500		0.00		GOOD	0.00	1.66	CLER	MEAS	1	Unspecified	CRAN	QUNSP		12500	550	5880	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	35	1962-04-23 10:40:00	CST	Yes	DJG	USGS	14.72	9920		0.00		GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9920	540	5400	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	36	1962-04-30 11:50:00	CST	Yes	DJG	USGS	12.32	6600		0.00		GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		6600	540	4040	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	37	1962-05-04 10:40:00	CST	Yes	DJG	USGS	11.22	5400		0.00		GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5400	325	2900	1.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	38	1962-05-17 09:15:00	CST	Yes	LKC	USGS		2640		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		2640	285	1960	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	39	1962-06-11 11:45:00	CST	Yes	DJG	USGS	10.14	4410		0.00		GOOD	0.00	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4410	301	2330	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	40	1962-06-21 08:45:00	CST	Yes	F M	USGS		2575		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		2575	275	1780	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	41	1962-07-09 11:15:00	CST	Yes	DJG	USGS	13.86	9040		0.00		GOOD	-0.03	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9040	533	4600	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	42	1962-07-25 08:30:00	CST	Yes	F M	USGS		5720		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		5720	328	2.38	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	44	1962-09-20 12:30:00	CST	Yes	OJL	USGS	8.85	2710		0.00		GOOD	-0.02	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2710	281	1550	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	45	1962-09-27 14:15:00	CST	Yes	WEB	USGS		1900		0.00		UNSP	0.00		CLER	MEAS	1	Unspecified	WADE	QUNSP		1900	277	1210	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	46	1962-10-04 14:45:00	CST	Yes	DJG	USGS	7.51	1690		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1690	271	1080	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05481650	47	1962-10-25 14:00:00	CST	Yes	CDS	USGS		1390		0.00		UNSP			CLER	MEAS	1	Unspecified	WADE	QUNSP		1390	270	1010	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
