#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:43 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05529000 DES PLAINES RIVER NEAR DES PLAINES, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05529000	328	1971-08-24		Yes	/	USGS	0.61	19.1	10.0	0.020	3.20	GOOD	0.00	0.40		UNSP	1	Unspecified	UNSP			19.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	329	1971-10-06		Yes	/	USGS	0.65	23.6	10.0	0.00	2.60	GOOD	0.00	0.50		UNSP	1	Unspecified	UNSP			23.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	330	1971-11-03		Yes	/	USGS	0.62	19.5	10.0	0.020	-4.90	GOOD	0.01	0.70		UNSP	1	Unspecified	UNSP			19.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	331	1971-12-09		Yes	/	USGS	0.72	36.6	10.0	-0.020	-1.10	GOOD	0.00	0.70		UNSP	1	Unspecified	UNSP			36.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	332	1971-12-16		Yes	/	USGS	1.71	600.0	10.0	0.00	-2.30	GOOD	-0.01	1.20		UNSP	1	Unspecified	UNSP			600.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	333	1972-01-11		Yes	/	USGS	0.96	134.0	10.0	0.00	3.90	GOOD	0.01	0.60		UNSP	1	Unspecified	UNSP			134.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	334	1972-02-02		Yes	/	USGS	0.70	35.8	10.0	0.00	-3.20	FAIR	0.00	0.30		UNSP	1	Unspecified	UNSP			35.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	335	1972-03-15		Yes	/	USGS	1.71	596.0	10.0	0.00	-2.90	GOOD	0.00	1.60		UNSP	1	Unspecified	UNSP			596.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05529000	336	1972-04-21		Yes	/	USGS	2.89	1500	10.0	0.00	1.40	GOOD	0.02	1.40		UNSP	1	Unspecified	UNSP			1500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
