#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:25:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05534050 DES PLAINES RIVER AT LOCKPORT, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05534050	1	1971-07-13		Yes	HEA	USGS	2.57	261.0		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		261.0	151	152	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	2	1971-07-22 09:30:00	CST	Yes	SG	USGS		103.0		0.00		FAIR			MDDB	MEAS	1	Unspecified	WADE	QUNSP		103.0	144	94.7	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	3	1971-07-29 14:00:00	CST	Yes	RTM	USGS	1.70	84.9		0.00		GOOD	0.00	0.50	HVDB	MEAS	1	Unspecified	WADE	QUNSP		84.9	141	92.8	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	4	1971-08-06 09:35:00	CST	Yes	AWN	USGS	1.75	100.0		0.00		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		100.0	76.0	86.5	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	5	1971-08-13 09:40:00	CST	Yes	AWN	USGS		203.0		0.00		GOOD	-0.01	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		203.0	137	130	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	6	1971-08-20 08:55:00	CST	Yes	RTM	USGS		66.4		0.00		GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		66.4	133	84.7	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	7	1971-08-27 09:15:00	CST	Yes	AWN	USGS		473.0		0.00		GOOD	-0.02	0.75	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		473.0	157	233	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	8	1971-09-02		Yes	BJP	USGS	1.71	99.1		0.00		GOOD	0.01	0.50		MEAS	1	Unspecified	WADE	QUNSP		99.1	137	137	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05534050	9	1971-09-10 10:15:00	CST	Yes	N	USGS		127.0		0.00		GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		127.0	128	89.1	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
