#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09180000 DOLORES RIVER NEAR CISCO, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09180000	190	1958-04-21 10:30:00	MST	Yes	JWP	USGS	9.80	17300				UNSP				MEAS	1		UNSP			17300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	353	1965-04-27 12:00:00	MST	Yes	J Mower	USGS	5.84	5950				UNSP				MEAS	1		UNSP			5950				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	471	1979-04-19 09:50:00	MST	Yes	JCM	USGS	5.20	4940				UNSP				MEAS	1		UNSP			4940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	565	1980-09-15		Yes	JCM/JRT	USGS	5.64	159.0	18.0	-0.140	-3.60	FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		159.0	68.0	12.5	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	566	1980-10-21		Yes	GAB/JRT	USGS	5.60	151.0	18.0	-0.170	2.70	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		151.0	63.0	10.7	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	567	1980-11-28		Yes	MGH	USGS	5.43	98.6	18.0	-0.170	-4.30	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		98.6	58.0	95.2	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	568	1981-01-26		Yes	JRT	USGS	5.64	171.0	18.0	-0.170	8.90	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		171.0	67.0	115	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	569	1981-02-27		Yes	MGH/GAB	USGS	5.47	115.0	18.0	-0.170	1.80	GOOD	0.01	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		115.0	60.0	101	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	570	1981-03-23		Yes	GAB/JRT	USGS	5.50	129.0	18.0	-0.170	6.60	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		129.0	63.0	109	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	571	1981-04-29		Yes	MGH/CJS	USGS	7.70	1080	18.0	-0.040	0.400	GOOD	-0.01	1.00	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		1080	99.0	536	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	572	1981-05-27		Yes	JCM/JRT	USGS	5.56	168.0	18.0	-0.040	-1.20	GOOD	-0.03	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		168.0	61.0	106	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	573	1981-06-22		Yes	JRT/JCM	USGS	6.33	458.0	18.0	0.020	6.50	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		458.0	97.0	471	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	574	1981-07-27		Yes	GAB/JRT	USGS	5.92	291.0	18.0	0.020	0.700	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		291.0	69.0	130	2.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	575	1981-08-24		Yes	JCM/JRT	USGS	5.44	125.0	18.0	-0.080	-3.10	GOOD	0.01	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		125.0	60.0	99.4	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	576	1981-09-24		Yes	JCM/JRT	USGS	5.81	244.0	18.0	-0.080	7.50	FAIR	0.10	0.66	LGDB	MEAS	1	Unspecified	WADE	QUNSP		244.0	63.0	120	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	577	1981-10-28		Yes	JCM/JRT	USGS	5.61	179.0	18.0	-0.080	3.50	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		179.0	63.0	110	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09180000	578	1981-11-25		Yes	GAB/JCM	USGS	5.66	190.0	18.0	-0.080	2.20	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		190.0	67.0	123	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
