#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:32 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03596000 DUCK RIVER BELOW MANCHESTER, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03596000	1	1933-10-26		Yes	Pri/Kin	USGS	0.67	18.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	18.7	57.0	53.3	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	2	1934-02-23		Yes	CHP	USGS	0.83	34.8				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	34.8	57.0	57.3	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	3	1934-03-02		Yes	CHP	USGS	5.95	1880				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1880	109	522	3.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	4	1934-03-20		Yes	CHP	USGS	4.13	1130				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1130	87.0	361	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	5	1934-03-24		Yes	CHP	USGS	10.84	6700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6700	260	1750	3.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	6	1934-03-24		Yes	CHP	USGS	14.07	12000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	12000	263	3420	3.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	7	1934-03-29		Yes	CHP	USGS	2.50	430				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		430				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	8	1934-03-31		Yes	CHP	USGS	2.04	260				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	260	76.0	148	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	9	1934-06-06		Yes	CHP	USGS	1.06	39.0				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	39.0	46.0	24.8	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	10	1934-07-13		Yes	Pri/Lun	USGS	1.05	36.8				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	36.8	49.0	43.6	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	11	1934-08-10		Yes	CEK	USGS	0.95	3.34				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3.34				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	13	1934-10-03		Yes	CHP	USGS	0.84	21.8				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	21.8	28.0	29.7	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	12	1934-10-03		Yes	CHP	USGS	0.84	20.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20.3	28.0	26.7	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	14	1934-10-15		Yes	CHP	USGS	0.88	23.7				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	23.7	28.0	31.1	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	15	1934-11-09		Yes	CHP	USGS	1.02	36.2				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		36.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03596000	16	1934-11-22		Yes	CHP	USGS	1.30	58.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	58.3	68.0	102	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
