#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03597860 DUCK RIVER AT SHELBYVILLE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03597860	1	1991-09-17 13:20:00	CDT	Yes	JTH/AKB	USGS	10.04	141				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	141	64.0	78.7	1.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	2	1991-10-04 08:15:00	CDT	Yes	RLK	USGS	10.07	154				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	154	59.0	80.6	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	3	1991-11-04 12:40:00	CST	Yes	RLK/ATO	USGS	10.15	173				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	173	68.0	99.9	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	4	1991-11-19 08:50:00	CST	Yes	RLK	USGS	10.99	424				Good	0.00	1.20	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	424	86.0	178	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	5	1992-04-10 11:45:00	CDT	Yes	DB	USGS	10.38	233				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	233	72.0	107	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	6	1992-05-05 08:40:00	CDT	Yes	RLK	USGS	10.13	160				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	160	62.0	84.6	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	7	1992-05-19 10:30:00	CDT	Yes	MWB	USGS	9.98	125				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	125	64.0	82.8	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	8	1992-05-27 08:30:00	CDT	Yes	RLK	USGS	10.03	144				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	68.0	87.5	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	9	1992-05-27 08:30:00	CDT	Yes	RLK/RAA	USGS	10.04	140				Good	0.01	1.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	68.0	89.4	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	10	1992-06-10 08:00:00	CDT	Yes	RLK/RAA	USGS	10.64	306				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	306	77.0	120	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	11	1992-07-21 13:25:00	CDT	Yes	RLK	USGS	10.33	216				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	216	71.0	98.8	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	12	1992-09-09 09:50:00	CDT	Yes	RLK/DEL	USGS	10.17	181				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	68.0	104	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	13	1992-10-06 09:40:00	CDT	Yes	K/L	USGS	10.74	347				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	347	80.0	129	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	14	1993-02-04 10:00:00	CST	Yes	RLK	USGS	10.66	327				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	327	77.0	116	2.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	15	1993-04-20 10:30:00	CDT	Yes	K/S	USGS	10.45	242				Good	0.04	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	242	76.0	109	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	16	1993-06-07 11:10:00	CDT	Yes	DEB/RRK	USGS	10.44	260				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	260	92.0	158	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	17	1993-07-13 11:10:00	CDT	Yes	DB	USGS	10.29	222				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	222	74.0	109	2.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	18	1993-07-29 13:10:00	CDT	Yes	DEB	USGS	10.22	190				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	190	68.0	98.2	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	19	1993-08-20 12:00:00	CDT	Yes	JS	USGS	10.20	172				Good	0.01	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	172	63.0	88.9	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	20	1993-10-14 08:40:00	CDT	Yes	mwb	USGS	10.12	173				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	173	67.0	89.8	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	21	1994-03-22 11:50:00	CST	Yes	JMS/TAS	USGS	10.64	303				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	303	78.0	134	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	22	1994-05-26 09:50:00	CDT	Yes	deb/tds	USGS	10.34	215				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	215	86.0	170	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	23	1994-06-30 12:00:00	CDT	Yes	MWB	USGS	10.39	225				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	225	92.0	151	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	24	1994-08-01 15:00:00	CDT	Yes	mwb	USGS	10.34	217				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	217	77.0	109	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	25	1994-09-06 11:45:00	CDT	Yes	JMS	USGS	10.29	180				Good	0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	180	57.0	103	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	26	1994-09-09 10:15:00	CDT	Yes	JMS	USGS	10.26	191				Good	0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	191	66.0	83.1	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	27	1994-10-06 11:35:00	CDT	Yes	j s	USGS	10.39	226				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	226	71.0	93.6	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	28	1994-12-21 10:30:00	CST	Yes	AKB	USGS	10.60	301				Good	-0.02	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	301	76.0	129	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	29	1994-12-22 10:45:00	CST	Yes	ab	USGS	10.59	294				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	294	71.0	124	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	30	1995-03-01 13:30:00	CST	Yes	JH	USGS	10.68	311				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	311	77.0	113	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	31	1995-05-16 13:30:00	CDT	Yes	JMS	USGS	11.01	432				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	432	88.0	168	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	32	1995-07-31 12:00:00	CDT	Yes	jms	USGS	10.20	180				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	180	74.0	93.6	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03597860	33	1995-09-08 09:10:00	CDT	Yes	deb	USGS	10.14	177				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	177	59.0	76.4	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
