#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:35 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03598000 DUCK RIVER NEAR SHELBYVILLE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03598000	1	1934-02-26		Yes	CHP	USGS	5.60	2520				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		2520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	2	1934-03-03		Yes	CHP	USGS	21.14	17900				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		17900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	3	1934-03-06		Yes	WEH	USGS	4.31	1570				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		1570				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	4	1934-03-15		Yes	CHP	USGS	2.73	753				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		753				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	5	1934-03-21		Yes	CHP	USGS	5.72	2590				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		2590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	6	1934-03-25		Yes	MRW	USGS	23.98	20800				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		20800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	7	1934-03-26		Yes	MRW	USGS	11.01	6130				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		6130				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	8	1934-06-06		Yes	CHP	USGS	1.67	256				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		256				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	9	1934-08-10		Yes	CEK	USGS	1.02	57.4				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		57.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	10	1934-08-24		Yes	CHP	USGS	0.94	43.4				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		43.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	11	1934-09-08		Yes	CHP/L	USGS	1.08	72.9				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		72.9				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	12	1934-10-03		Yes	CHP	USGS	1.32	125				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		125				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	13	1934-10-04		Yes	CHP	USGS	0.92	41.1				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		41.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	14	1934-10-20		Yes	CHP	USGS	0.92	43.0				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		43.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	15	1934-11-09		Yes	CHP	USGS	1.39	145				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		145				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	16	1934-11-22		Yes	CHP	USGS	1.92	296				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		296				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	17	1934-12-04		Yes	CHP	USGS	1.66	224				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		224				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	18	1935-01-02		Yes	CHP	USGS	4.22	1380				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		1380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03598000	19	1935-02-14		Yes	CHP	USGS	5.24	2090				Unspecified			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		2090				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
