#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03599419 DUCK RIVER AT MILE 156 NEAR POTTSVILLE, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03599419	1	2003-11-03 11:00:00	CST	Yes	mdw/rrk	USGS		335				Good				MEAS	1	Imported Channel 1	WADE	unspe	unkno	335	106	230	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03599419	2	2012-01-12 12:37:30	CST	Yes	EWD	USGS	22.95	12500				Fair	-0.03	0.10	DebrisLight	UNSP	1	Channel 1	BRDS	QADCP	VADCP	12500	190	2860	4.37	FIRM	GRVL	UNEV	unkn	UNEV	UNSP	UPST	2100.00
USGS	03599419	3	2012-01-12 13:39:00	CST	Yes	EWD	USGS	22.69	12800				Good	-0.05	0.20	DebrisLight	UNSP	1	Channel 1	BRDS	QADCP	VADCP	12800	190	2790	4.59	FIRM	GRVL	UNEV	unkn	UNEV	UNSP	UPST	2100.00
USGS	03599419	4	2012-01-12 14:21:30	CST	Yes	EWD	USGS	22.47	12600				Good	-0.05	0.20	DebrisLight	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	12600	192	2900	4.34	FIRM	GRVL	UNEV	unkn	UNEV	UNSP	UPST	2100.00
USGS	03599419	5	2012-01-23 12:36:53	CST	Yes	EWD	USGS	16.45	7690				Good	0.09	0.30	Clear	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	7690	174	1820	4.22	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	UPST	2100.00
USGS	03599419	6	2012-01-23 12:52:51	CST	Yes	EWD	USGS	16.54	7820				Good	0.08	0.20	Clear	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	7820	173	1860	4.21	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	UPST	2100.00
USGS	03599419	7	2012-03-02 09:27:30	CST	Yes	mwb	USGS	8.04	1730				Good	-0.05	0.30	Clear	UNSP	1	Imported Channel 1	BRDS	QADCP	VADCP	1730	122	617	2.81	FIRM	silt	UNEV	unkn	EVEN	UNSP	UPST	1000.00
USGS	03599419	8	2012-04-11 08:46:00	CDT	Yes	mwb	USGS	5.40	264				Good	0.01	0.50	Clear	UNSP	1	Imported Channel 1	WADE	QSCMM	VADV	264	94.0	113	2.33	FIRM	LDGE	UNEV	unkn	EVEN	UNSP	DNST	200.00
USGS	03599419	9	2012-04-26 11:21:30	CDT	Yes	EWD	USGS	5.29	169				Good	0.05	1.00	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	169	82.0	118	1.44	FIRM	LDGE	UNSP	unkn	UNSP	UNSP	DNST	150.00
