#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09064600 EAGLE RIVER NEAR MINTURN, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09064600	1	1989-09-22 09:40:00	MDT	Yes	RAJ	USGS	3.17	37.5	 1.0	0.00	-0.500	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		37.5	53.0	70.3	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	2	1989-10-11 14:25:00	MDT	Yes	JEV	USGS	3.09	28.0	 1.0	0.00	1.40	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		28.0	51.0	64.0	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	3	1989-11-16 10:06:00	MST	Yes	JEV	USGS	3.08	11.4				FAIR	-0.01	0.40	CICE	MEAS	1	Unspecified	WADE	QUNSP		11.4	38.0	32.5	0.350	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	4	1990-01-05 11:34:00	MST	Yes	JEV	USGS		18.6				POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		18.6	29.5	15.1	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	5	1990-02-12 16:50:00	MST	Yes	JEV	USGS		23.8				FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		23.8	28.0	22.9	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	6	1990-03-20 16:32:00	MST	Yes	JEV	USGS	3.12	29.8	 1.0		-4.80	GOOD	0.00	0.40	SICE	MEAS	1	Unspecified	WADE	QUNSP		29.8	55.0	64.1	0.460	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	7	1990-04-19 15:12:00	MDT	Yes	JEV	USGS	3.58	102.0	 1.0	0.00	-1.00	GOOD	0.03	0.47	CLER	MEAS	1	Unspecified	WADE	QUNSP		102.0	60.0	94.6	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	8	1990-05-16 13:16:00	MDT	Yes	JEV	USGS	3.86	167.0	 2.0	0.00	0.600	GOOD	0.00	0.48	CLER	MEAS	1	Unspecified	WADE	QUNSP		167.0	60.0	111	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	9	1990-05-21 16:35:00	MDT	Yes	JEV	USGS	3.96	192.0	 2.0	0.00	-0.500	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		192.0	60.0	119	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	10	1990-06-08 13:12:00	MDT	Yes	JEV	USGS	4.93	666.0	 2.0	0.00	6.20	GOOD	-0.03	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		666.0	58.0	177	3.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	11	1990-06-13 08:45:00	MDT	Yes	RGK	USGS	4.74	490.0	 2.0	0.00	-4.80	GOOD	-0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		490.0	75.0	154	3.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	12	1990-06-20 15:15:00	MDT	Yes	JEV	USGS	4.21	258.0	 2.0	0.00	-5.80	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		258.0	59.0	123	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	13	1990-07-19 10:25:00	MDT	Yes	JEV	USGS	3.81	132.0	 2.0	-0.090		GOOD	0.00	0.58	MDDB	MEAS	1	Unspecified	WADE	QUNSP		132.0	61.0	107	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	14	1990-08-15 13:15:00	MDT	Yes	CHC	USGS	3.22	53.2	 2.0	0.00	2.30	FAIR	0.00	0.40		MEAS	1	Unspecified	WADE	QUNSP		53.2	39.0	43.4	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	15	1990-10-03 07:45:00	MDT	Yes	RWB	USGS	3.34	65.5	 2.0	0.00	0.900	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		65.5	65.0	72.7	0.900	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	16	1990-11-01 10:51:00	MST	Yes	RWB	USGS	3.19	43.2	 2.0	-0.060		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.2	60.0	63.8	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	17	1990-12-13 09:55:00	MST	Yes	rwb	USGS		25.0				POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		25.0	45.0	43.8	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	18	1991-03-05 10:50:00	MST	Yes	JMM/RWB	USGS		19.8	 2.0			GOOD			SICE	MEAS	1	Unspecified	WADE	QUNSP		19.8	34.0	23.0	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	19	1991-04-15 18:18:00	MDT	Yes	JMM/RWB	USGS	3.16	41.9	 2.0	-0.050		FAIR	0.00	0.55	CLER	MEAS	1	Unspecified	WADE	QUNSP		41.9	58.5	54.0	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	20	1991-05-20 15:18:00	MDT	Yes	RWB/JMM	USGS	5.11	494.0	 2.0	-0.410		FAIR	0.00	1.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		494.0	61.0	184	2.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	21	1991-05-31 10:10:00	MDT	Yes	JMM/RWB	USGS	5.01	510.0	 2.0	-0.280		GOOD	-0.02	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		510.0	61.0	172	2.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	22	1991-06-10 14:18:00	MDT	Yes	JMM	USGS	5.08	501.0	 2.0	-0.370		FAIR	-0.01	2.00		MEAS	1	Unspecified	WADE	QUNSP		501.0	56.0	164	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	23	1991-07-25 08:20:00	MDT	Yes	MEW	USGS	3.97	142.0	 2.0	-0.200		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		142.0	59.0	107	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	24	1991-08-29 08:40:00	MDT	Yes	MEW	USGS	3.48	66.7	 2.0	-0.120		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		66.7	59.0	82.4	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	25	1991-10-11 08:10:00	MDT	Yes	JMM	USGS	3.19	33.0	 2.0	-0.180		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.0	33.0	23.9	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	26	1991-11-18 14:21:00	MST	Yes	MEW	USGS	3.20	34.4	 2.0	-0.180		GOOD	0.00	0.43	CLER	MEAS	1	Unspecified	WADE	QUNSP		34.4	57.0	69.0	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	27	1992-01-14 14:20:00	MST	Yes	MEW	USGS		24.6	 2.0			FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		24.6	24.0	21.3	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	28	1992-03-10 14:15:00	MST	Yes	MEW/RAJ	USGS		21.8	 3.0			GOOD	0.00	0.50	SICE	MEAS	1	Unspecified	WADE	QUNSP		21.8	45.0	51.6	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	29	1992-04-13 13:50:00	MDT	Yes	KNB/JMM	USGS	3.78	128.0	 3.0	0.00	4.90	GOOD	-0.02	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		128.0	62.0	106	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	30	1992-05-20 08:30:00	MDT	Yes	MEW	USGS	4.67	406.0	 3.0	0.00	4.40	GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		406.0	62.0	156	2.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	31	1992-06-17 08:58:00	MDT	Yes	MEW	USGS	4.30	268.0	 3.0	0.00	3.90	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		268.0	68.0	132	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	32	1992-07-15 08:30:00	MDT	Yes	MEW	USGS	3.69	102.0	 3.0	0.00	-1.90	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		102.0	62.0	95.7	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	33	1992-09-02 08:43:00	MDT	Yes	MEW	USGS	3.57	83.3	 3.0	0.00	1.20	GOOD	0.00	0.45	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.3	61.0	88.8	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	34	1992-10-07 08:40:00	MDT	Yes	MEW	USGS	3.25	36.5	 3.0	0.00	-3.20	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.5	60.0	70.0	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	35	1992-11-17 13:17:00	MST	Yes	JMM	USGS	3.39	43.9				FAIR	0.00	0.70	SICE	MEAS	1	Unspecified	WADE	QUNSP		43.9	38.0	26.4	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	36	1993-01-11 15:30:00	MST	Yes	MEW	USGS	3.72	28.8				POOR	0.00	0.50	CICE	MEAS	1	Unspecified	WADE	QUNSP		28.8	23.7	24.0	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	37	1993-03-02 13:15:00	MST	Yes	DMH	USGS	3.80	37.1				FAIR	0.00	0.66	CICE	MEAS	1	Unspecified	WADE	QUNSP		37.1	39.0	35.9	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	38	1993-04-13 14:30:00	MDT	Yes	RAJ/DMH	USGS	3.33	44.2	 3.0	-0.020		FAIR	0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		44.2	61.5	65.4	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	39	1993-05-20 14:30:00	MDT	Yes	RAJ/DLC	USGS	5.30	730.0	 3.0	0.100		UNSP	0.02	1.20	LGDB	MEAS	1	Unspecified	BRUS	QUNSP		730.0	61.0	186	3.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	40	1993-06-02 17:30:00	MDT	Yes	DMH/JMM	USGS	5.64	818.0		0.00		FAIR	0.01	1.40	CLER	MEAS	1	Unspecified	CWAY	QUNSP		818.0	51.0	176	4.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	41	1993-07-14 08:40:00	MDT	Yes	MEW	USGS	4.29	277.0	 3.0	0.070		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		277.0	63.0	131	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	42	1993-07-21 09:20:00	MDT	Yes	DMH/RAJ	USGS	3.90	175.0	 3.0	0.110		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		175.0	56.0	110	1.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	43	1993-08-18 09:12:00	MDT	Yes	MEW	USGS	3.37	69.6		0.120		EXCL	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		69.6	60.0	74.7	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	44	1993-10-06 08:30:00	MDT	Yes	MEW	USGS	3.11	36.7	 3.0	0.130		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.7	59.0	60.2	0.610	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	45	1993-11-15 14:50:00	MST	Yes	MEW	USGS	3.31	44.6				FAIR	0.02	0.50	CICE	MEAS	1	Unspecified	WADE	QUNSP		44.6	46.0	37.2	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	46	1994-01-11 14:47:00	MST	Yes	MEW	USGS	3.32	23.3				FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		23.3	23.4	28.0	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	47	1994-03-02 15:25:00	MST	Yes	MEW	USGS	3.09	24.0				FAIR	0.00	0.40	CICE	MEAS	1	Unspecified	WADE	QUNSP		24.0	27.3	30.2	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	48	1994-04-12 15:04:00	MDT	Yes	MEW	USGS	3.11	31.3	 4.0	0.00	-6.80	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.3	55.0	57.2	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	49	1994-05-17 16:08:00	MDT	Yes	MEW	USGS	4.70	464.0	 4.0	0.00	3.10	GOOD	0.00	0.76	CLER	MEAS	1	Unspecified	WADE	QUNSP		464.0	62.0	162	2.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	50	1994-06-08 08:15:00	MDT	Yes	MEW	USGS	4.52	374.0	 4.0	0.00	-1.00	GOOD	-0.01	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		374.0	63.0	147	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	51	1994-07-07 08:42:00	MDT	Yes	MEW	USGS	3.70	126.0	 4.0	0.00	-4.50	GOOD	0.00	0.51	CLER	MEAS	1	Unspecified	WADE	QUNSP		126.0	60.0	94.0	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	52	1994-08-08 12:27:00	MDT	Yes	MEW	USGS	3.23	46.3	 4.0	0.00	-4.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		46.3	59.0	65.4	0.710	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	53	1994-10-04 15:40:00	MDT	Yes	MEW	USGS	3.09	32.7	 4.0	0.010		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.7	56.0	58.5	0.560	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	54	1994-11-08 14:10:00	MST	Yes	MEW	USGS	3.07	31.7	 4.0	0.020		GOOD	0.00	0.51	CLER	MEAS	1	Unspecified	WADE	QUNSP		31.7	57.0	59.0	0.538	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	55	1995-01-10 12:30:00	MST	Yes	MEW	USGS	3.30	21.6				FAIR	0.00	0.42	CICE	MEAS	1	Unspecified	WADE	QUNSP		21.6	21.3	26.2	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	56	1995-02-28 09:25:00	MST	Yes	DMH	USGS	3.63	28.6				FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		28.6	39.0	41.0	0.697	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	57	1995-04-12 09:20:00	MDT	Yes	DMH/RAJ	USGS	3.18	45.3	 4.0	0.020	2.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		45.3	56.0	66.4	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	58	1995-05-22 14:10:00	MDT	Yes	TRT/RAJ	USGS	4.51	379.0	 4.0	0.020	-1.60	FAIR	-0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		379.0	70.0	144	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	59	1995-06-13 10:00:00	MDT	Yes	TRT/JMM	USGS	5.60	960.0	 4.0	0.110	-1.40	GOOD	-0.05	1.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		960.0	62.0	208	4.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	60	1995-07-13 09:05:00	MDT	Yes	TRT	USGS	5.42	901.0	 4.0	0.110	4.00	FAIR	-0.09	2.20	CLER	MEAS	1	Unspecified	CWAY	QUNSP		901.0	65.0	216	4.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	61	1995-09-01 09:00:00	MDT	Yes	TRT	USGS	3.42	96.9	 4.0	0.110		FAIR	0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		96.9	49.0	97.5	0.993	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	62	1995-10-05 17:15:00	MDT	Yes	TRT	USGS	3.30	77.2	 4.0	0.120		FAIR	-0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		77.2	48.0	86.4	0.893	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	63	1995-11-29 09:45:00	MST	Yes	TRT	USGS	3.14	53.4	 4.0			FAIR	0.01	0.50	SICE	MEAS	1	Unspecified	WADE	QUNSP		53.4	52.0	71.9	0.743	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	64	1996-02-01 07:45:00	MST	Yes	TRT	USGS	3.75	42.0	 4.0			FAIR	0.00	0.50	CICE	MEAS	1	Unspecified	WADE	QUNSP		42.0	32.0	33.2	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	65	1996-02-07 16:10:00	MST	Yes	TRT	USGS	3.79	40.9	 4.0			FAIR	0.02	0.60	CICE	MEAS	1	Unspecified	WADE	QUNSP		40.9	33.0	36.1	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	66	1996-03-12 13:30:00	MST	Yes	TRT	USGS	3.22	41.4	 4.0			FAIR	0.00	0.80	CICE	MEAS	1	Unspecified	WADE	QUNSP		41.4	31.0	34.3	1.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	67	1996-04-15 16:09:00	MDT	Yes	TRT/JMM	USGS	3.62	144.0	 4.0	0.130		GOOD	0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		144.0	61.0	91.6	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	68	1996-05-16 11:50:00	MDT	Yes	TRT	USGS	5.59	945.0	 4.0	0.070		FAIR	-0.03	2.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		945.0	61.0	219	4.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	69	1996-06-26 10:13:00	MDT	Yes	TRT/JRS	USGS	4.52	425.0	 4.0	0.110		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		425.0	60.0	151	2.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	70	1996-08-27 14:50:00	MDT	Yes	trt	USGS	3.14	57.3	 4.0	0.150		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	UNSP			57.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	71	1996-10-03 07:55:00	MDT	Yes	trt	USGS	3.12	55.9	 5.0	0.030		GOOD	0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.9	56.0	70.8	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	72	1996-12-06 10:24:00	MST	Yes	DMH	USGS	3.42	40.2	 5.0			GOOD	0.00	1.00	CICE	MEAS	1	Unspecified	WADE	QUNSP		40.2	31.0	30.0	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	73	1997-01-14 13:05:00	MST	Yes	JMM	USGS	4.00	19.8				FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		19.8	18.3	20.2	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09064600	74	1997-03-11 16:15:00	MST	Yes	JMM	USGS	4.15	34.8				FAIR	0.18	0.60	CICE	MEAS	1	Unspecified	WADE	QUNSP		34.8	25.0	28.9	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
