#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:48 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09067005 EAGLE RIVER AT AVON, CO.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09067005	1	1988-09-08 13:40:00	MDT	Yes	JRS/RAJ	USGS	1.28	59.3	 1.0	0.00	-3.10	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		59.3	74.0	90.8	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	2	1988-10-03 14:53:00	MDT	Yes	JRS	USGS	1.30	67.2	 1.0	0.00	5.00	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		67.2	76.5	88.1	0.760	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	3	1988-11-04 10:05:00	MST	Yes	JRS	USGS	1.28	59.3	 1.0	0.00	-3.10	GOOD	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		59.3	73.5	86.4	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	4	1988-12-05 15:05:00	MST	Yes	JEV/JRS	USGS		63.6	 1.0			FAIR			SICE	MEAS	1	Unspecified	WADE	QUNSP		63.6	58.0	59.7	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	5	1989-02-27 15:00:00	MST	Yes	JEV	USGS	1.23	47.0	 1.0		-13.0	FAIR			SICE	MEAS	1	Unspecified	WADE	QUNSP		47.0	66.0	56.0	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	6	1989-03-27 13:52:00	MST	Yes	JEV	USGS	1.51	108.0	 1.0	0.00	4.80	FAIR	0.00	0.57	CLER	MEAS	1	Unspecified	WADE	QUNSP		108.0	74.0	86.6	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	7	1989-04-28 15:20:00	MDT	Yes	JEV	USGS	2.57	564.0	 1.0	0.00	2.20	FAIR	0.01	0.83	CLER	MEAS	1	Unspecified	CRAN	QUNSP		564.0	48.0	250	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	8	1989-05-26 13:12:00	MDT	Yes	JEV	USGS	3.40	1170	 1.0	0.00	2.60	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1170	46.0	280	4.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	9	1989-06-09 13:14:00	MDT	Yes	JEV	USGS	3.26	983.0	 1.0	0.00	-4.40	FAIR	0.00	1.03	CLER	MEAS	1	Unspecified	CRAN	QUNSP		983.0	48.0	279	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	10	1989-06-23 10:40:00	MDT	Yes	JEV	USGS	2.88	712.0	 1.0	0.00	-5.80	FAIR	0.00	0.92	CLER	MEAS	1	Unspecified	CRAN	QUNSP		712.0	48.0	261	2.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	11	1989-07-21 12:51:00	MDT	Yes	JEV	USGS	2.01	262.0	 1.0	0.00	0.800	GOOD	0.00	0.57	CLER	MEAS	1	Unspecified	WADE	QUNSP		262.0	77.0	123	2.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067005	12	1989-08-25 12:38:00	MDT	Yes	JEV	USGS	1.64	139.0	 1.0	0.00	3.70	FAIR	0.01	0.53	CLER	MEAS	1	Unspecified	WADE	QUNSP		139.0	75.0	94.3	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
