#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:26:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09067020 EAGLE R BLW WASTEWATER TREATMENT PLANT AT AVON, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09067020	1	1999-10-14 09:48:00	MDT	Yes	SPA/DMH	USGS	2.99	136.0	 1.0	0.00	-0.800	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		136.0	55.0	88.1	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	2	1999-11-16 13:10:00	MST	Yes	SPA	USGS	2.48	63.9	 1.0	0.00		GOOD	-0.02	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		63.9	52.0	56.9	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	3	1999-12-21 12:24:00	MST	Yes	SPA	USGS	2.54	59.5	 1.0			FAIR	-0.01	0.60	SICE	MEAS	1	Unspecified	WADE	QUNSP		59.5	51.0	63.1	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	4	2000-01-25 16:40:00	MST	Yes	CFA/SPA	USGS	2.62	67.9	 1.0			GOOD	0.00	0.90	SICE	MEAS	1	Unspecified	WADE	QUNSP		67.9	39.1	58.1	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	5	2000-02-28 13:48:00	MST	Yes	CFA	USGS	2.61	72.5	 1.0	-0.060		POOR	0.02	0.70	ALGA	MEAS	1	Unspecified	WADE	QUNSP		72.5	39.0	56.8	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	6	2000-04-11 12:25:00	MDT	Yes	SPA	USGS	3.39	220.0	 1.0	0.00	2.70	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		220.0	57.0	114	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	7	2000-05-02 11:28:00	MDT	Yes	mew	USGS	5.06	772.0	 1.0	0.00	-0.400	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		772.0	64.0	187	4.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	8	2000-05-17 13:30:00	MDT	Yes	CFA	USGS	6.12	1330	 1.0	0.00	-6.50	FAIR	-0.02	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1330	69.0	272	4.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09067020	9	2000-05-26 08:45:00	MDT	Yes	SPA/CFA	USGS	7.33	2450	 1.0	0.00		FAIR	-0.07	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2450	73.0	381	6.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
