#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:27:11 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03194700 ELK RIVER BELOW WEBSTER SPRINGS, WV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03194700	12	1960-03-30 06:15:00	EST	Yes	BUS	USGS	9.80	9820		0.00		GOOD	0.05	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9820	183	1400	7.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	9	1960-03-30 09:00:00	EST	Yes	BUS	USGS	9.42	8650		0.00		GOOD	0.03	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8650	182	1420	6.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	10	1960-03-30 12:05:00	EST	Yes	BUS	USGS	9.62	9050		0.00		GOOD	0.03	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9050	183	1390	6.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	11	1960-03-30 15:00:00	EST	Yes	BUS	USGS	9.68	9320		0.00		GOOD	0.01	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9320	183	1390	6.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	13	1960-03-31 08:00:00	EST	Yes	BUS	USGS	10.24	10800		0.00		GOOD	-0.07	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		10800	184	1490	7.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	14	1960-03-31 10:10:00	EST	Yes	BUS	USGS	9.99	10400		0.00		GOOD	-0.08	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		10400	184	1470	7.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	15	1960-03-31 14:20:00	EST	Yes	BUS	USGS	9.48	9180		0.00		GOOD	-0.11	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9180	182	1390	6.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	57	1964-01-27 13:40:00	EST	Yes	GSR	USGS	5.74	1390		0.00		GOOD	-0.04	1.30	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1390	145	607	2.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	60	1964-04-20 14:30:00	EST	Yes	AKT	USGS	6.68	2660		0.00		GOOD	-0.01	1.40	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2660	152	766	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	71	1965-04-14 08:50:00	EST	Yes	AKT	USGS	5.81	1460		0.00		GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1460	151	626	2.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	79	1966-02-12 09:25:00	EST	Yes	AKT	USGS	7.11	3260		0.00		GOOD	-0.05	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		3260	163	829	3.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	81	1966-04-26 09:30:00	EST	Yes	AKT	USGS	5.92	1610		0.00		GOOD	-0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1610	154	621	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	91	1967-10-20 11:30:00	EDT	Yes	OBR	USGS	5.69	1300		0.00		GOOD	-0.02	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1300	155	604	2.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	93	1968-03-14 09:55:00	EST	Yes	AKT	USGS	6.63	2530		0.00		GOOD	-0.03	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2530	154	766	3.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	98	1968-11-20 12:20:00	EST	Yes	OBR	USGS	5.80	1440		0.00		GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1440	146	606	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	101	1969-04-23 11:30:00	EST	Yes	OBR	USGS	6.13	1760		0.00		GOOD	0.01	0.50		MEAS	1	Unspecified	CWAY	QUNSP		1760	150	649	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	105	1969-11-20 12:00:00	EST	Yes	OBR	USGS	5.91	1490		0.00		GOOD	-0.02	0.50	CLER	MEAS	1	Unspecified	UNSP			1490				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	107	1970-02-17 12:10:00	EST	Yes	OBR	USGS	6.28	1960		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1960	150	689	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03194700	113	1971-03-29 11:55:00	EST	Yes	OBR	USGS	5.99	1580		0.00		GOOD	0.00	0.40	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1580	151	625	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
